source,target,relations_x,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
CYPRINELLA,LUTRENSIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,VENUSTA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,CEPEDIANUM,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,LUCIUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,CAERULEUM,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,CINEREUM,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,EXILE,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,FLABELLARE,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,NIGRUM,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,SPECTABILE,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,HETEROCLITUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,NOTATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,OLIVACEUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,ARGENTEUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,FASCIATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,MACULATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ROBUSTA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,COTIDIANUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPSETUS,ODOE,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYBOGNATHUS,PLACITUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,VITTATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
KUHLIA,RUPESTRIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,FLUVIATILIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,PLANERI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,TRIDENTATA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LENTIPES,CONCOLOR,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPISOSTEUS,OCULATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPISOSTEUS,OSSEUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,CYANELLUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,GIBBOSUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MACROCHIRUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LETHENTERON,REISSNERI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCASPIUS,DELINEATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,CEPHALUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
