TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,CEPEDIANUM,CLUPEIDAE,,PARENT-CHILD,2.0,11.47,JEFF corpus
,CYPRINIDAE,CLUPEIDAE,,PARENT-CHILD,1.0,10.82,JEFF corpus
,PSUEDOHARENGUS,CLUPEIDAE,,PARENT-CHILD,1.0,12.19,JEFF corpus
,TAENIA,COBITIDAE,,PARENT-CHILD,1.0,11.83,JEFF corpus
,GLANIS,COBITIS,,PARENT-CHILD,1.0,10.09,JEFF corpus
,ARACHNIDA,COLEOPTERA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,CERAMBYCIDAE,COLEOPTERA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,COLEOPTERA,COLEOPTERA,,PARENT-CHILD,1.0,10.75,JEFF corpus
,COPEPODA,COLEOPTERA,,PARENT-CHILD,4.0,12.14,JEFF corpus
,DIPTERA,COLEOPTERA,,PARENT-CHILD,2.0,11.35,JEFF corpus
,DYTISCIDAE,COLEOPTERA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,HEMIPTERA,COLEOPTERA,,PARENT-CHILD,4.0,12.19,JEFF corpus
,HYMENOPTERA,COLEOPTERA,,PARENT-CHILD,1.0,10.6,JEFF corpus
,ODONATA,COLEOPTERA,,PARENT-CHILD,1.0,10.41,JEFF corpus
,COPEPODA,COLLEMBOLA,,PARENT-CHILD,4.0,12.83,JEFF corpus
,HYMENOPTERA,COLLEMBOLA,,PARENT-CHILD,1.0,11.67,JEFF corpus
,PERCA,COMMERSONII,,PARENT-CHILD,1.0,12.19,JEFF corpus
,CONSECUENCIA,COMO,,CHILD-PARENT,2.0,13.99,JEFF corpus
,CARPIODES,CONFLUENTUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,CYPRINUS,CONFLUENTUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,ACARINA,COPEPODA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,OSTRACODA,COPEPODA,,PARENT-CHILD,2.0,13.19,JEFF corpus
,NASUS,COREGNUS,,CHILD-PARENT,1.0,9.79,JEFF corpus
,ARTEDII,COREGONUS,,PARENT-CHILD,5.0,9.16,JEFF corpus
,TRICHOPTERA,CORIXIDAE,,CHILD-PARENT,1.0,10.68,JEFF corpus
,PERCINA,CORNUTUS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,BAIRDI,COTTUS,,PARENT-CHILD,17.0,11.58,JEFF corpus
,PYGMAEUS,COTTUS,,PARENT-CHILD,3.0,9.2,JEFF corpus
,COGNATUS,COTUS,,CHILD-PARENT,1.0,10.47,JEFF corpus
,SEPTEMSPINOSA,CRANGON,,PARENT-CHILD,1.0,13.99,JEFF corpus
,CYMOTHOIDAE,CRUSTACEA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,JAPONICA,CRYPTOMERIA,,CHILD-PARENT,3.0,10.75,JEFF corpus
,IDELLUS,CTENOPHARYNGODON,,PARENT-CHILD,1.0,13.99,JEFF corpus
,INCON,CULAEA,,PARENT-CHILD,2.0,13.99,JEFF corpus
,HEMIPTERA,CURTONOTUM,,CHILD-PARENT,1.0,11.3,JEFF corpus
,CARASSIUS,CURUSSIUS,,CHILD-PARENT,1.0,10.41,JEFF corpus
,REGALIA,CYNOSCION,,PARENT-CHILD,1.0,13.99,JEFF corpus
,HYBOPSIS,CYPRINELLA,,PARENT-CHILD,1.0,9.41,JEFF corpus
,PIMEPHALES,CYPRINELLA,,PARENT-CHILD,2.0,10.3,JEFF corpus
,FUNDULIDAE,CYPRINIDAE,,PARENT-CHILD,1.0,11.99,JEFF corpus
,PERCIDAE,CYPRINIDAE,,PARENT-CHILD,1.0,11.54,JEFF corpus
,POECILIIDAE,CYPRINIDAE,,PARENT-CHILD,1.0,11.67,JEFF corpus
,SALMONIDAE,CYPRINIDAE,,PARENT-CHILD,1.0,10.6,JEFF corpus
,TELEOSTEI,CYPRINIDAE,,PARENT-CHILD,1.0,11.3,JEFF corpus
,UMBRIDAE,CYPRINIDAE,,PARENT-CHILD,1.0,11.54,JEFF corpus
,LINNAEUS,CYPRINUS,,PARENT-CHILD,3.0,9.57,JEFF corpus
,PULEX,DAPHIA,,CHILD-PARENT,1.0,11.3,JEFF corpus
,CRISTATA,DAPHNIA,,PARENT-CHILD,2.0,11.24,JEFF corpus
,DROSOPHILA,DAPHNIA,,PARENT-CHILD,2.0,11.24,JEFF corpus
,GALEATA,DAPHNIA,,PARENT-CHILD,10.0,13.19,JEFF corpus
,HYALINA,DAPHNIA,,PARENT-CHILD,1.0,10.3,JEFF corpus
,LUMHOLTZI,DAPHNIA,,PARENT-CHILD,1.0,10.3,JEFF corpus
,MAGNA,DAPHNIA,,PARENT-CHILD,3.0,11.77,JEFF corpus
,PULEX,DAPHNIA,,PARENT-CHILD,5.0,12.11,JEFF corpus
,ROTIFERA,DAPHNIA,,PARENT-CHILD,1.0,10.19,JEFF corpus
,AFFINIS,DICHROURA,,CHILD-PARENT,1.0,9.48,JEFF corpus
,AMBIGUA,DIET,,CHILD-PARENT,1.0,11.83,JEFF corpus
,MACQUARIA,DIET,,CHILD-PARENT,1.0,11.83,JEFF corpus
,CHIRONOMIDAE,DIPTERA,,PARENT-CHILD,1.0,11.09,JEFF corpus
,CLADOCERA,DIPTERA,,PARENT-CHILD,1.0,10.91,JEFF corpus
,COLLEMBOLA,DIPTERA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,DIET,DIPTERA,,PARENT-CHILD,1.0,11.99,JEFF corpus
,EPHEMEROPTERA,DIPTERA,,PARENT-CHILD,1.0,10.82,JEFF corpus
,FIG.,DIPTERA,,PARENT-CHILD,1.0,11.83,JEFF corpus
,HYMENOPTERA,DIPTERA,,PARENT-CHILD,1.0,11.0,JEFF corpus
,LAKE,DIPTERA,,PARENT-CHILD,1.0,11.54,JEFF corpus
,LEPOMIS,DIPTERA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,MASS,DIPTERA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,MEGALOPTERA,DIPTERA,,PARENT-CHILD,1.0,11.3,JEFF corpus
,SIMULIIDAE,DIPTERA,,PARENT-CHILD,2.0,12.09,JEFF corpus
,THYSANOPTERA,DIPTERA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,TRICHOPTERA,DIPTERA,,PARENT-CHILD,2.0,11.09,JEFF corpus
,GRANULOSUS,DORADIDAE,,CHILD-PARENT,1.0,11.09,JEFF corpus
,PIMEPHALES,DOROSOMA,,PARENT-CHILD,1.0,10.14,JEFF corpus
,BUGENSIS,DREISSENA,,PARENT-CHILD,2.0,11.14,JEFF corpus
,POLYMORPHA,DREISSENA,,PARENT-CHILD,25.0,13.94,JEFF corpus
,MELANOGASTER,DROSOPHILA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ZOOLOGIA,ECOLOGIA,,CHILD-PARENT,1.0,13.99,JEFF corpus
,CERATOPOGONIDAE,EMPIDIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,TRIDENTATUS,ENTOSPHENUS,,PARENT-CHILD,16.0,13.99,JEFF corpus
,LEPIDOPTERA,EPHEMEROPTERA,,PARENT-CHILD,1.0,10.75,JEFF corpus
,ODONATA,EPHEMEROPTERA,,PARENT-CHILD,2.0,11.54,JEFF corpus
,PLECOPTERA,EPHEMEROPTERA,,PARENT-CHILD,7.0,13.28,JEFF corpus
,SIMULIIDAE,EPHEMEROPTERA,,PARENT-CHILD,1.0,10.82,JEFF corpus
,TRICHOPTERA,EPHEMEROPTERA,,PARENT-CHILD,3.0,11.54,JEFF corpus
,ALBURNUS,ERYTHROPHTHALMUS,,PARENT-CHILD,1.0,9.95,JEFF corpus
,AURATUS,ERYTHROPHTHALMUS,,PARENT-CHILD,1.0,9.91,JEFF corpus
,CHARACIDAE,ERYTHROZONUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,SALMONIDAE,ESOCIDAE,,PARENT-CHILD,2.0,11.91,JEFF corpus
,LINNAEUS,ESOX,,PARENT-CHILD,13.0,10.37,JEFF corpus
,ESPECIE,ESTA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,SPECTABILE,ETHEOSTORNA,,CHILD-PARENT,1.0,10.6,JEFF corpus
,MINIATA,EUCALYPTUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,TETRADONTA,EUCALYPTUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,GRACILIS,EUDIAPTOMUS,,PARENT-CHILD,1.0,13.0,JEFF corpus
,TRICHOPTERA,EUDIAPTOMUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,PERCINA,EXILIS,,CHILD-PARENT,1.0,11.99,JEFF corpus
,GOBIIDAE,EXTRANEUS,,CHILD-PARENT,1.0,12.68,JEFF corpus
,DER,FISH,,CHILD-PARENT,1.0,10.68,JEFF corpus
,ESOX,FISH,,CHILD-PARENT,1.0,10.68,JEFF corpus
,GOBIIDAE,FLAVESCENS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,CERNUUS,FLUVIATILIS,,PARENT-CHILD,1.0,9.09,JEFF corpus
,ERYTHROPHTHALMUS,FLUVIATILIS,,PARENT-CHILD,1.0,9.38,JEFF corpus
,LINNAEUS,FLUVIATILIS,,PARENT-CHILD,7.0,10.71,JEFF corpus
,COMMERSONII,FONTINALIS,,PARENT-CHILD,1.0,11.19,JEFF corpus
,HYMENOPTERA,FORMICIDAE,,PARENT-CHILD,1.0,12.41,JEFF corpus
,MAGBANUA,FRANCIS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ICTALURIDAE,FUNDULIDAE,,CHILD-PARENT,1.0,13.99,JEFF corpus
,MICROPTERUS,FUNDULUS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,PIMEPHALES,FUNDULUS,,PARENT-CHILD,1.0,9.38,JEFF corpus
,DAPHNIA,GAMBUSIA,,PARENT-CHILD,2.0,9.46,JEFF corpus
,HOLBROOKI,GAMBUSIA,,PARENT-CHILD,47.0,13.4,JEFF corpus
,HOLBROOKI,GAMHUSIA,,CHILD-PARENT,1.0,9.3,JEFF corpus
,FORMICIDAE,GAMMARIDAE,,PARENT-CHILD,1.0,13.41,JEFF corpus
,DYTISCUS,GAMMARUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,HALIPLUS,GAMMARUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,LIMNOPHILUS,GAMMARUS,,PARENT-CHILD,1.0,12.68,JEFF corpus
,MINUS,GAMMARUS,,PARENT-CHILD,1.0,12.19,JEFF corpus
,PSEUDOLIMNAEUS,GAMMARUS,,PARENT-CHILD,2.0,13.0,JEFF corpus
,PULEX,GAMMARUS,,PARENT-CHILD,3.0,12.41,JEFF corpus
,HOLBROOKI,GAMUSIA,,CHILD-PARENT,1.0,9.3,JEFF corpus
,LINNAEUS,GASTEROSTEUS,,PARENT-CHILD,4.0,9.16,JEFF corpus
,OSTRACODA,GASTROPODA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,UNIONIDAE,GASTROPODA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,KINDTII,GIBBERUM,,PARENT-CHILD,1.0,11.83,JEFF corpus
,LONGIMANUS,GIBBERUM,,PARENT-CHILD,1.0,11.41,JEFF corpus
,LINNAEUS,GIBBOSUS,,PARENT-CHILD,3.0,9.58,JEFF corpus
,PARVA,GIBBOSUS,,PARENT-CHILD,1.0,10.0,JEFF corpus
,TELEOSTEI,GIGAS,,PARENT-CHILD,2.0,13.0,JEFF corpus
,CHUB,GILA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,TOPMINNOW,GILA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,ERYTHROPHTHALMUS,GLANIS,,PARENT-CHILD,1.0,9.79,JEFF corpus
,MAXIMA,GLYCERIA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,PAGANELLUS,GOBIIDAE,,PARENT-CHILD,1.0,13.0,JEFF corpus
,PERCIDAE,GOBIIDAE,,PARENT-CHILD,1.0,12.41,JEFF corpus
,ALBIPINNATUS,GOBIO,,CHILD-PARENT,1.0,10.0,JEFF corpus
,LEUCISCUS,GOBIO,,CHILD-PARENT,1.0,10.09,JEFF corpus
,LINNAEUS,GOBIO,,CHILD-PARENT,2.0,9.01,JEFF corpus
,AIENSIS,GOBIOIDEI,,PARENT-CHILD,1.0,12.68,JEFF corpus
,SANDER,GOBIOIDEI,,PARENT-CHILD,1.0,11.99,JEFF corpus
,SICYOPTERUS,GOBIOIDEI,,PARENT-CHILD,1.0,12.41,JEFF corpus
,VITREUS,GOBIOIDEI,,PARENT-CHILD,1.0,11.99,JEFF corpus
,COTIDIANUS,GOBIUS,,CHILD-PARENT,1.0,11.09,JEFF corpus
,BLOCHII,GRACILIS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,TRICHOPTERA,GRACILOIDES,,PARENT-CHILD,1.0,12.68,JEFF corpus
,PULEX,GUMMARUS,,CHILD-PARENT,2.0,12.19,JEFF corpus
,PULEX,GUMMURUS,,CHILD-PARENT,1.0,11.3,JEFF corpus
,CERNUA,GYMNOCEPHALUS,,PARENT-CHILD,13.0,12.51,JEFF corpus
,KAMTSCHATKANA,HALIOTIS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,RUBRA,HALIOTIS,,PARENT-CHILD,1.0,13.41,JEFF corpus
,DA,HARDANGERVID,,CHILD-PARENT,1.0,13.0,JEFF corpus
,UNIONIDAE,HARPACTICOIDA,,CHILD-PARENT,1.0,13.0,JEFF corpus
,HEMIPTERA,HELVUM,,CHILD-PARENT,1.0,11.3,JEFF corpus
,ARACHNIDAE,HEMIPTERA,,PARENT-CHILD,1.0,12.68,JEFF corpus
,GAMMARIDAE,HEMIPTERA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,HEMIPTERA,HEMIPTERA,,PARENT-CHILD,1.0,11.0,JEFF corpus
,ODONATA,HEMIPTERA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,HYDROPSYCHIDAE,HEPTAGENIIDAE,,PARENT-CHILD,1.0,13.99,JEFF corpus
,VULGARIS,HIPPURIS,,PARENT-CHILD,2.0,13.41,JEFF corpus
,GIBBERUM,HOLOPEDIUM,,PARENT-CHILD,4.0,13.99,JEFF corpus
,AMERICANUS,HOMARUS,,CHILD-PARENT,1.0,12.68,JEFF corpus
,ARGRYTUS,HYBOGNATHUS,,PARENT-CHILD,1.0,11.19,JEFF corpus
,ICTIOBUS,HYBOGNATHUS,,PARENT-CHILD,1.0,11.19,JEFF corpus
,PIMEPHALES,HYBOPSIS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,UNIONIDAE,HYDRACARINA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,VERTICILLATA,HYDRILLA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,VERTICILLATU,HYDRILLA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,COLEOPTERA,HYMENOPTERA,,PARENT-CHILD,1.0,12.19,JEFF corpus
