source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
ETHEOSTOMA,HISTRIO,PARENT-CHILD,1.0,8.18,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,LYNCEUM,PARENT-CHILD,2.0,9.16,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,MICROPERCA,PARENT-CHILD,2.0,9.16,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,NIANGUAE,PARENT-CHILD,3.0,9.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,NIGRUM,PARENT-CHILD,17.0,12.08,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,OKALOOSAE,PARENT-CHILD,1.0,8.18,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,OLMSTEDI,PARENT-CHILD,1.0,8.18,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,RUBRUM,PARENT-CHILD,2.0,9.16,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,SIMOTERUM,PARENT-CHILD,3.0,9.74,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,SPECTABILE,PARENT-CHILD,19.0,12.2,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,TETRAZONUM,PARENT-CHILD,2.0,9.16,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,WHIPPLEI,PARENT-CHILD,1.0,8.18,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,ZONALE,PARENT-CHILD,3.0,9.74,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETROPLUS,MACULATUS,CHILD-PARENT,1.0,9.27,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,DIAPHANUS,PARENT-CHILD,1.0,9.57,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
