parent,child,hits,mean,median
ONCORHYNCUS,KISUTCH,4,9.56,9.56
PERCH,AUSTRALASICA,4,9.34,9.34
PETROMYZON,LINNAEUS,4,9.58,9.58
PLATICHTHYS,FLESUS,4,13.83,13.83
PLECOPTERA,TRICHOPTERA,4,12.24,12.24
RUTILUS,FLUVIATILIS,4,9.94,9.94
SALMON,KETA,4,7.83,7.83
SALMONIDAE,THYMALLUS,4,12.24,12.24
SALVELINUS,LEUCOMAENIS,4,7.22,7.22
SALVELINUS,SPECIE,4,5.89,5.89
SALVELINUS,WILLUGHBII,4,7.22,7.22
SANDER,CANADENSIS,4,10.6,10.6
SCOPHTHALMUS,MAXIMUS,4,13.99,13.99
SICYDIUM,ANTILLARUM,4,12.09,12.09
SICYOPTERUS,STIMPSONI,4,10.1,10.1
SPARUS,AURATA,4,13.99,13.99
SPECIE,COTTUS,4,8.49,8.49
SPECIE,CYPRINUS,4,7.495,7.495
SPECIE,MICROPTERUS,4,8.48,8.48
SPECIE,SALAR,4,8.49,8.49
SPECIES,TRUTTA,4,10.685,10.685
SQUALIUS,ARADENSIS,4,11.87,11.87
SQUALIUS,CAROLITERTII,4,11.87,11.87
STIPHODON,PERCNOPTERYGIONUS,4,13.99,13.99
THYMALLUS,TINCA,4,9.85,9.85
TRIDENTIGER,BREVISPINIS,4,13.67,13.67
ACANTHOPAGRUS,BUTCHERI,3,13.77,13.77
ACIPENSER,FULVESCENS,3,12.68,12.68
BARBUS,MICROCEPHALUS,3,10.01,10.01
BOSMINA,LONGISPINA,3,13.58,13.58
CATOSTOMUS,CLARKII,3,10.6,10.6
CATOSTOMUS,DISCOBOLUS,3,11.03,11.03
CATOSTOMUS,LATIPINNIS,3,11.03,11.03
CATOSTOMUS,MACROCHEILUS,3,11.03,11.03
CHARACIDAE,TETRAGONOPTERINAE,3,13.58,13.58
CHONDROSTOMA,TOXOSTOMA,3,11.5,11.5
CHUB,PLUMBEUS,3,9.67,9.67
COREGONUS,FONTANAE,3,8.42,8.42
COTTUS,ASPER,3,9.11,9.11
COTTUS,HYPSELURUS,3,9.12,9.12
COTTUS,PYGMAEUS,3,9.12,9.12
COTTUS,SPECIES,3,8.19,8.19
CRYPTOMERIA,JAPONICA,3,10.12,10.12
CYPRINODON,MACULARIUS,3,12.77,12.77
CYPRINODON,RUBROFLUVIATILIS,3,12.77,12.77
CYPRINODON,TULAROSA,3,12.77,12.77
CYPRINUS,LINNAEUS,3,9.44,9.44
DAPHNIA,MAGNA,3,11.77,11.77
EGRETTA,GARZETTA,3,13.99,13.99
EPHEMEROPTERA,TRICHOPTERA,3,11.06,11.06
ESOX,MASQUINONGY,3,8.94,8.94
ETHEOSTOMA,NIANGUAE,3,9.71,9.71
ETHEOSTOMA,SIMOTERUM,3,9.7,9.7
ETHEOSTOMA,ZONALE,3,9.72,9.72
FISH,ALTIVELIS,3,6.005,6.005
FISH,BARBUS,3,7.896666667,6.58
FISH,COTTUS,3,8.14,8.14
FISH,CYPRINIDAE,3,8.16,8.16
FISH,GOBIO,3,5.955,5.955
FISH,LEPOMIS,3,8.13,8.13
FISH,MICROPTERUS,3,8.13,8.13
FISH,SALVELINUS,3,8.1,8.1
FISH,SANDER,3,8.13,8.13
FLUVIATILIS,RUTILUS,3,8.76,8.76
GAMMARUS,PULEX,3,12.41,12.41
GIBBOSUS,LINNAEUS,3,9.45,9.45
GOBIOMORPHUS,HUTTONI,3,12.33,12.33
GOBY,FLUVIATILIS,3,7.71,7.71
GOBY,STIMPSONI,3,9.69,9.69
HYBOGNATHUS,HANKINSONI,3,12.49,12.49
LAGOCEPHALUS,LARVA,3,7.97,7.97
LEPORINUS,FRIDERICI,3,12.77,12.77
