TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,COMMERSONII,CATOSTOMUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CYPRINUS,CARPIODES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,TEXANUS,XYRAUCHEN, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,RUPESTRIS,KUHLIA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AMBIGUA,MACQUARIA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FLABELLARE,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NIGRUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CINEREUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CAERULEUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,EXILE,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,SPECTABILE,ETHEOSTOMA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,TANASI,PERCINA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AUROLINEATA,PERCINA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CANADENSIS,SANDER, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FLAVESCENS,PERCA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FLUVIATILIS,PERCA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ANNULARIS,POMOXIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CYANELLUS,LEPOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,MACROCHIRUS,LEPOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GIBBOSUS,LEPOMIS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FULIGINOSUS,HEPHAESTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,NYEREREI,PUNDAMILIA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,GUINEENSIS,TILAPIA, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,COTIDIANUS,GOBIOMORPHUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PUNCTATUM,SICYDIUM, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,PERCNOPTERYGIONUS,STIPHODON, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,JAPONICUS,SICYOPTERUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,STIMPSONI,SICYOPTERUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,LAGOCEPHALUS,SICYOPTERUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,ACUTIPINNIS,COTYLOPUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CONCOLOR,LENTIPES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,FLAVESCENS,GOBIUSCULUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,OLORUM,PSEUDOGOBIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BREVISPINIS,TRIDENTIGER, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,GIURINUS,RHINOGOBIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BRUNNEUS,RHINOGOBIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,SEMILUNARIS,PROTERORHINUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,THOMPSONII,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience,,,,,,,,left_only
 SPECIES,COGNATUS,COTTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,CAROLINAE,COTTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
 SPECIES,BAIRDII,COTTUS, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF salience, SPECIES, GENUS,VTO ontology,is_a,JEFF corpus,both,JEFF frequency,both
