source,target,hits,score,score.1,Hits,Score
PLANORBIDAE,SPHAERIIDAE,1.0,13.0,13.0,1.0,13.0
PLATICHTHYS,FLESUS,7.0,13.8,13.8,7.0,13.8
PLATYGOBIO,GRACILIS,1.0,13.99,13.99,1.0,13.99
PLECOGLOSSUS,ALTIVELIS,9.0,13.99,13.99,9.0,13.99
PLEURONECTES,PLATESSA,22.0,13.81,13.81,22.0,13.81
PODICEPS,CRISTATUS,7.0,13.99,13.99,7.0,13.99
POECILIA,LATIPINNA,7.0,13.0,13.0,7.0,13.0
POECILIA,RETICULATA,14.0,13.59,13.59,14.0,13.59
POLYCENTROPODIDAE,GLOSSOSOMATIDAE,1.0,13.41,13.41,1.0,13.41
POLYGONUM,HYDRILLA,1.0,13.99,13.99,1.0,13.99
POLYPHEMUS,PEDICULUS,2.0,13.67,13.67,2.0,13.67
POMATOSCHISTUS,MINUTUS,14.0,13.94,13.94,14.0,13.94
POMOXIS,ANNULARIS,12.0,13.0,13.0,12.0,13.0
POMOXIS,NIGROMACULATUS,23.0,13.57,13.57,23.0,13.57
POSTHODIPLOSTOMUM,CUTICOLA,1.0,13.99,13.99,1.0,13.99
POTAMOGETON,PERFOLIATUS,4.0,13.09,13.09,4.0,13.09
PROCHILODUS,LINEATUS,2.0,13.99,13.99,2.0,13.99
PROSOPIUM,WILLIAMSONI,18.0,13.55,13.55,18.0,13.55
PROTERORHINUS,MARMORATUS,9.0,13.47,13.47,9.0,13.47
PSEUDOBARBUS,BURCHELLI,1.0,13.99,13.99,1.0,13.99
PSEUDOCHONDROSTOMA,POLYLEPIS,1.0,13.41,13.41,1.0,13.41
PSEUDOPLEURONECTES,AMERICANUS,13.0,13.49,13.49,13.0,13.49
PSEUDORASBORA,PARVA,5.0,13.73,13.73,5.0,13.73
PSYCHOMYIIDAE,PHILOPOTAMIDAE,1.0,13.99,13.99,1.0,13.99
PTEROPHYLLUM,EIMEKEI,3.0,13.99,13.99,3.0,13.99
PTYCHOCHEILUS,OREGONENSIS,18.0,13.55,13.55,18.0,13.55
PUNCTATUS,MORONE,1.0,13.0,13.0,1.0,13.0
PUNGITIUS,PUNGITIUS,45.0,13.83,13.83,45.0,13.83
PYGOCENTRUS,NATTERERI,1.0,13.99,13.99,1.0,13.99
PYLODICTIS,OLIVARIS,7.0,13.99,13.99,7.0,13.99
RANA,TEMPORARIA,12.0,13.88,13.88,12.0,13.88
RHINICHTHYS,ATRATULUS,12.0,13.03,13.03,12.0,13.03
RHINICHTHYS,CATARACTAE,13.0,13.08,13.08,13.0,13.08
RHINOGOBIUS,BRUNNEUS,2.0,13.67,13.67,2.0,13.67
RHINOGOBIUS,GIURINUS,1.0,13.0,13.0,1.0,13.0
RHODEUS,SERICEUS,3.0,13.58,13.58,3.0,13.58
RHYACOPHILIDAE,POLYCENTROPODIDAE,1.0,13.41,13.41,1.0,13.41
RICHARDSONIUS,BALTEATUS,11.0,13.99,13.99,11.0,13.99
ROTIFERA,PROTOZOA,1.0,13.99,13.99,1.0,13.99
RUTILIS,RUTILIS,2.0,13.67,13.67,2.0,13.67
SALMO,SALAR,750.0,13.29,13.29,750.0,13.29
SALMO,TRUTTA,728.0,13.25,13.25,728.0,13.25
SALVELINUS,ALPINUS,579.0,13.47,13.47,579.0,13.47
SANDER,LUCIOPERCA,85.0,13.32,13.32,85.0,13.32
SAPROLEGNIA,PARASITICA,1.0,13.99,13.99,1.0,13.99
SAXATILIS,MORONE,1.0,13.41,13.41,1.0,13.41
SCAPHIRHYNCHUS,ALBUS,1.0,13.99,13.99,1.0,13.99
SCARDINIUS,ERYTHROPHTHALMUS,47.0,13.94,13.94,47.0,13.94
SCIAENOPS,OCELLATUS,12.0,13.88,13.88,12.0,13.88
SCIOMYZIDAE,CERATOPOGONIDAE,1.0,13.41,13.41,1.0,13.41
SCOPHTHALMUS,MAXIMUS,25.0,13.99,13.99,25.0,13.99
SCORPAENIFORMES,COTTUS,1.0,13.41,13.41,1.0,13.41
SEMOTILUS,ATROMACULATUS,19.0,13.96,13.96,19.0,13.96
SERIPHUS,POLITUS,2.0,13.99,13.99,2.0,13.99
SERRASALMUS,EICHHORNIA,1.0,13.99,13.99,1.0,13.99
SICYOPTERUS,STIMPSONI,1.0,13.99,13.99,1.0,13.99
SIDA,CRYSTALLINA,4.0,13.83,13.83,4.0,13.83
SILLAGO,CILIATA,1.0,13.99,13.99,1.0,13.99
SILURUS,GLANIS,38.0,13.92,13.92,38.0,13.92
SIPHLONURIDAE,HEPTAGENIIDAE,1.0,13.99,13.99,1.0,13.99
SOLEA,SOLEA,12.0,13.99,13.99,12.0,13.99
SPARGANIUM,ERECTUM,4.0,13.83,13.83,4.0,13.83
SPARGANIUM,RANUNCULUS,1.0,13.41,13.41,1.0,13.41
SPARUS,AURATA,19.0,13.96,13.96,19.0,13.96
SPHOEROIDES,ANNULATUS,1.0,13.99,13.99,1.0,13.99
SQUALIUS,CAROLITERTII,9.0,13.08,13.08,9.0,13.08
STEGASTES,PARTITUS,2.0,13.99,13.99,2.0,13.99
STICKLEBACK,ACULEATUS,1.0,13.99,13.99,1.0,13.99
STIZOSTEDION,VITREUM,38.0,13.23,13.23,38.0,13.23
TABANIDAE,TURBELLARIA,1.0,13.41,13.41,1.0,13.41
TAENIOPTERYGIDAE,LEUCTRIDAE,1.0,13.41,13.41,1.0,13.41
TELEOSTEI,CICHLIDAE,3.0,13.0,13.0,3.0,13.0
TERRESTRIAL,EPHEMEROPTERA,1.0,13.41,13.41,1.0,13.41
THALASSOMA,BIFASCIATUM,4.0,13.99,13.99,4.0,13.99
THYMALLUS,ARCTICUS,72.0,13.24,13.24,72.0,13.24
TILAPIA,RENDALLI,6.0,13.33,13.33,6.0,13.33
TINCA,TINCA,37.0,13.92,13.92,37.0,13.92
TRIDENTATUS,CLUPEIDAE,1.0,13.41,13.41,1.0,13.41
TRIDENTIGER,OBSCURUS,2.0,13.99,13.99,2.0,13.99
TURBELLARIA,OSTRACODA,1.0,13.0,13.0,1.0,13.0
TYPHA,CYPERUS,1.0,13.41,13.41,1.0,13.41
TYPHA,LATIFOLIA,5.0,13.62,13.62,5.0,13.62
UMBRA,LIMI,6.0,13.67,13.67,6.0,13.67
URSUS,ARCTOS,4.0,13.99,13.99,4.0,13.99
UTRICULARIA,VULGARIS,1.0,13.0,13.0,1.0,13.0
VELIIDAE,NOTONECTIDAE,1.0,13.99,13.99,1.0,13.99
VICTORIA,VICTORIA,4.0,13.54,13.54,4.0,13.54
VOLUCELLUS,EMILIAE,1.0,13.0,13.0,1.0,13.0
VOLUME,CHAOBORUS,1.0,13.99,13.99,1.0,13.99
XYRAUCHEN,TEXANUS,3.0,13.58,13.58,3.0,13.58
ZOOPLANKTIVORE,GASTEROSTEUS,1.0,13.99,13.99,1.0,13.99
