TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,CORNUTUS,LUXILUS, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB frequency,both
 SPECIES,ALBURNUS,ALBURNUS, GENUS,VTO ontology,is_a,13.85,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.85,WEB corpus,both,WEB frequency,both
 SPECIES,VIMBA,VIMBA, GENUS,VTO ontology,is_a,13.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.41,WEB corpus,both,WEB frequency,both
 SPECIES,OREGONENSIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,13.55,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.55,WEB corpus,both,WEB frequency,both
 SPECIES,GRANDIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,12.71,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.71,WEB corpus,both,WEB frequency,both
 SPECIES,ANGUILLICAUDATUS,MISGURNUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,CALDERONI,COBITIS, GENUS,VTO ontology,is_a,13.21,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.21,WEB corpus,both,WEB frequency,both
 SPECIES,TAENIA,COBITIS, GENUS,VTO ontology,is_a,13.5,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.5,WEB corpus,both,WEB frequency,both
 SPECIES,BARBATULA,BARBATULA, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,MACROLEPIDOTUM,MOXOSTOMA, GENUS,VTO ontology,is_a,13.26,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.26,WEB corpus,both,WEB frequency,both
 SPECIES,CYPRINELLUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB frequency,both
 SPECIES,CATOSTOMUS,CATOSTOMUS, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB frequency,both
 SPECIES,MACROCHEILUS,CATOSTOMUS, GENUS,VTO ontology,is_a,11.48,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.48,WEB corpus,both,WEB frequency,both
 SPECIES,COMMERSONII,CATOSTOMUS, GENUS,VTO ontology,is_a,11.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.57,WEB corpus,both,WEB frequency,both
 SPECIES,JAPONICUS,LATEOLABRAX, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,AMBIGUA,MACQUARIA, GENUS,VTO ontology,is_a,12.09,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.09,WEB corpus,both,WEB frequency,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,13.84,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.84,WEB corpus,both,WEB frequency,both
