parent,child,hits,score,score.1
CHIRONOMIDAE,LARVA,18,10.47,10.47
CHIRONOMIDAE,MOLLUSCA,1,10.24,10.24
CHIRONOMIDAE,ODONATA,2,11,11
CHIRONOMIDAE,SIMULIIDAE,1,10.19,10.19
CHIRONOMIDAE,TRICHOPTERA,1,9.57,9.57
CHIRONOMUS,RIPARIUS,1,13.99,13.99
CHONDROSTOMA,ALMACAI,1,9.87,9.87
CHONDROSTOMA,NASUS,21,13.24,13.24
CHONDROSTOMA,POLYLEPIS,5,12.07,12.07
CHONDROSTOMA,TOXOSTOMA,3,11.5,11.5
CHONDROSTOMA,WILLKOMMI,1,10,10
CHROSOMUS,ERYTHROGASTER,6,13.77,13.77
CHROSOMUS,NEOGAEUS,1,11.19,11.19
CHUB,ATROMACULATUS,11,11.28,11.28
CHUB,BIGUTTATUS,1,8.13,8.13
CHUB,GRACILIS,1,8.13,8.13
CHUB,MICROPOGON,4,10.08,10.08
CHUB,PLUMBEUS,3,9.67,9.67
CHYDORIDAE,ROTIFERA,1,13,13
CICHLA,SPECIE,4,6.63,6.63
CICHLIDAE,FACETUM,1,11.99,11.99
CICHLIDAE,LORICARIIDAE,1,12.19,12.19
CICHLIDAE,MONODACTYLIDAE,1,12.19,12.19
CICHLIDAE,SPECIE,1,4.63,4.63
CINERA,ESOX,1,11,11
CLADOCERA,AFFINIS,1,9.24,9.24
CLADOCERA,CHIRONOMIDAE,1,11.3,11.3
CLADOCERA,COPEPODA,5,12.73,12.73
CLADOCERA,DAPHNIA,1,13.99,13.99
CLADOCERA,LARVA,1,6.35,6.35
CLADOCERA,OSTRACODA,1,11,11
CLARIAS,CAMERUNENSIS,1,11.54,11.54
CLARIAS,GARIEPINUS,5,13.51,13.51
CLARIAS,JAENSIS,1,11.54,11.54
CLARIAS,PACHYNEMA,1,11.54,11.54
CLARIAS,PLATYCEPHALUS,1,11.54,11.54
CLETHRIONOMYS,RUTILUS,1,7.25,7.25
CLINOSTOMUS,FUNDULOIDES,1,13.99,13.99
CLUPEA,HARENGUS,6,13.88,13.88
CLUPEA,WHITEFISH,1,10.75,10.75
CLUPEIDAE,CEPEDIANUM,2,11.47,11.47
CLUPEIDAE,CYPRINIDAE,1,10.82,10.82
CLUPEIDAE,PSUEDOHARENGUS,1,12.19,12.19
COBITIDAE,TAENIA,1,11.83,11.83
COBITIS,GLANIS,1,10.09,10.09
COBITIS,PALUDICA,8,13.3,13.3
COBITIS,TAENIA,7,13.16,13.16
COBITIS,TRUTTA,1,5.1,5.1
COLEOPTERA,ARACHNIDA,1,10.82,10.82
COLEOPTERA,CERAMBYCIDAE,1,10.82,10.82
COLEOPTERA,COLEOPTERA,1,10.68,10.68
COLEOPTERA,COPEPODA,4,11.99,11.99
COLEOPTERA,DIPTERA,2,11.24,11.24
COLEOPTERA,DYTISCIDAE,1,10.82,10.82
COLEOPTERA,HEMIPTERA,4,12.14,12.14
COLEOPTERA,HYMENOPTERA,1,10.54,10.54
COLEOPTERA,LARVA,1,6.33,6.33
COLEOPTERA,ODONATA,1,10.35,10.35
COLLEMBOLA,COPEPODA,4,12.68,12.68
COLLEMBOLA,HYMENOPTERA,1,11.67,11.67
COMMERSONII,PERCA,1,11.54,11.54
COMO,CONSECUENCIA,2,13.99,13.99
CONFLUENTUS,CARPIODES,1,12.19,12.19
CONFLUENTUS,CYPRINUS,1,12.19,12.19
COPEPODA,ACARINA,1,12.68,12.68
COPEPODA,LARVA,1,6.38,6.38
COPEPODA,OSTRACODA,2,12.54,12.54
COREGNUS,NASUS,1,9.64,9.64
COREGONUS,ALBULA,94,12.99,12.99
COREGONUS,ARTEDI,10,10.11,10.11
COREGONUS,ARTEDII,5,9.15,9.15
COREGONUS,CLUPEAFORMIS,17,10.84,10.84
COREGONUS,CLUPEAFORMISS,1,6.85,6.85
COREGONUS,FONTANAE,3,8.42,8.42
COREGONUS,HOYI,8,9.8,9.8
COREGONUS,IUVURETUS,1,6.85,6.85
COREGONUS,KIYI,1,6.85,6.85
COREGONUS,LARVA,1,5.6,5.6
COREGONUS,LAVA,1,6.85,6.85
COREGONUS,LAVAREFUS,1,6.85,6.85
COREGONUS,LAVARETUS,95,12.91,12.91
COREGONUS,LAVERETUS,1,6.85,6.85
COREGONUS,LUVURETUS,1,6.85,6.85
COREGONUS,NASUS,13,10.36,10.36
COREGONUS,PIDSCHIAN,6,9.39,9.39
COREGONUS,PUSILLUS,2,7.83,7.83
COREGONUS,SARDINELLA,11,10.26,10.26
COREGONUS,SPECIE,2,5.35,5.35
COREGONUS,ZAVARETUS,2,7.84,7.84
COREGONUS,ZENI,1,6.85,6.85
COREGONUS,ZENITHICUS,6,9.41,9.41
CORIXIDAE,TRICHOPTERA,1,10.68,10.68
CORNUTUS,PERCINA,1,11.99,11.99
COTTUS,ASPER,3,9.11,9.11
COTTUS,ASPERRIMUS,1,7.56,7.56
COTTUS,BAIRDI,17,11.51,11.51
COTTUS,BAIRDII,9,10.66,10.66
COTTUS,CAROLINAE,8,10.48,10.48
COTTUS,COGNATUS,20,11.71,11.71
COTTUS,FISH,2,8.08,8.08
COTTUS,GOBIO,73,13.06,13.06
COTTUS,GULOSUS,2,8.53,8.53
COTTUS,HAIRDI,1,7.56,7.56
COTTUS,HANGEONGENSIS,1,7.56,7.56
COTTUS,HANGIONGENSIS,5,9.84,9.84
COTTUS,HYPSELURUS,3,9.12,9.12
COTTUS,LINNAEUS,2,7.72,7.72
COTTUS,NOZAWAE,2,8.54,8.54
COTTUS,PAULUS,6,10.1,10.1
COTTUS,PERIFRETUM,1,7.56,7.56
COTTUS,PJIGMAEUS,1,7.56,7.56
COTTUS,POECILOPUS,2,8.54,8.54
COTTUS,POLLUS,1,7.56,7.56
COTTUS,POLLUX,2,8.54,8.54
COTTUS,PYGMAEUS,3,9.12,9.12
COTTUS,RICEI,1,7.56,7.56
COTTUS,SPECIE,4,6.45,6.45
COTTUS,SPECIES,3,8.19,8.19
COTYLOPUS,ACUTIPINNIS,6,13.88,13.88
COUESIUS,PLUMBEUS,5,13.62,13.62
CRANGON,SEPTEMSPINOSA,1,13.41,13.41
CRATEROCEPHALUS,FLUVIATILIS,6,9.04,9.04
CRUSTACEA,CYMOTHOIDAE,1,13.99,13.99
CRYPTOMERIA,JAPONICA,3,10.12,10.12
CTENOPHARYNGODON,IDELLUS,1,13.99,13.99
CULAEA,INCON,2,13.99,13.99
CURTONOTUM,HEMIPTERA,1,11.3,11.3
CURUSSIUS,CARASSIUS,1,10.41,10.41
CYCLEPTUS,ELONGATUS,2,13.41,13.41
CYNOSCION,REGALIA,1,13.99,13.99
CYPRINELLA,CAERULEA,6,11.91,11.91
CYPRINELLA,GALACTURA,2,10.44,10.44
CYPRINELLA,HYBOPSIS,1,9.41,9.41
CYPRINELLA,LUTRENSIS,9,12.33,12.33
CYPRINELLA,PIMEPHALES,2,10.3,10.3
CYPRINELLA,SPILOPTERA,1,9.48,9.48
CYPRINELLA,VENUSTA,24,13.47,13.47
CYPRINIDAE,BRAMA,1,8.93,8.93
CYPRINIDAE,FUNDULIDAE,1,11.83,11.83
CYPRINIDAE,PERCIDAE,1,11.19,11.19
CYPRINIDAE,POECILIIDAE,1,11.54,11.54
CYPRINIDAE,SALMONIDAE,1,10.54,10.54
CYPRINIDAE,SPECIE,1,4.62,4.62
CYPRINIDAE,TELEOSTEI,1,11.19,11.19
CYPRINIDAE,UMBRIDAE,1,11.41,11.41
CYPRINIFORMES,CATOSTOMIDAE,1,13,13
CYPRINIFORMES,CYPRINIDAE,1,11,11
CYPRINODON,MACULARIUS,3,12.77,12.77
CYPRINODON,NEVADENSIS,1,11.41,11.41
CYPRINODON,PECOSENSIS,1,11.41,11.41
CYPRINODON,RUBROFLUVIATILIS,3,12.77,12.77
CYPRINODON,TULAROSA,3,12.77,12.77
CYPRINUS,CARPIO,2,13.19,13.19
CYPRINUS,LINNAEUS,3,9.44,9.44
DAPHIA,PULEX,1,11.3,11.3
DAPHNIA,CRISTATA,2,11.24,11.24
DAPHNIA,DROSOPHILA,2,11.24,11.24
DAPHNIA,GALEATA,10,13.19,13.19
