source,target,hits,score,score.1,Hits,Score
HYDROPHILIDAE,NOTERIDAE,1.0,13.0,13.0,1.0,13.0
HYPENTELIUM,NIGRICANS,3.0,13.99,13.99,3.0,13.99
HYPOMESUS,NIPPONENSIS,5.0,13.99,13.99,5.0,13.99
HYPOPHTHALMICHTHYS,MOLITRIX,13.0,13.61,13.61,13.0,13.61
HYSTEROCARPUS,TRASKI,1.0,13.99,13.99,1.0,13.99
ICHNEUMONIDAE,CINYGMULA,1.0,13.0,13.0,1.0,13.0
ICHTHYOMYZON,FOSSOR,6.0,13.88,13.88,6.0,13.88
ICTALURIDAE,CENTRARCHIDAE,1.0,13.41,13.41,1.0,13.41
ICTALURUS,PUNCTATUS,58.0,13.77,13.77,58.0,13.77
ICTIOBUS,BUBALUS,3.0,13.12,13.12,3.0,13.12
ICTIOBUS,CYPRINELLUS,5.0,13.62,13.62,5.0,13.62
KATSUWONUS,PELAMIS,1.0,13.99,13.99,1.0,13.99
KERATELLA,DAPHNIA,1.0,13.0,13.0,1.0,13.0
KUHLIA,SANDVICENSIS,1.0,13.99,13.99,1.0,13.99
LABEO,OSTEICHTHYES,1.0,13.41,13.41,1.0,13.41
LABEOBARBUS,AENEUS,1.0,13.99,13.99,1.0,13.99
LABIDESTHES,SICCULUS,3.0,13.99,13.99,3.0,13.99
LACUSTRIS,HYDRACARINA,1.0,13.41,13.41,1.0,13.41
LAMNA,DITROPIS,1.0,13.99,13.99,1.0,13.99
LARUS,RIDIBUNDUS,2.0,13.99,13.99,2.0,13.99
LATEOLABRAX,JAPONICUS,6.0,13.99,13.99,6.0,13.99
LATES,NILOTICUS,30.0,13.09,13.09,30.0,13.09
LATRIS,LINEATA,1.0,13.99,13.99,1.0,13.99
LAVINIA,EXILICAUDA,1.0,13.99,13.99,1.0,13.99
LEIOSTOMUS,XANTHURUS,11.0,13.99,13.99,11.0,13.99
LEMNA,MINOR,1.0,13.99,13.99,1.0,13.99
LEMOINE,POMACEA,1.0,13.99,13.99,1.0,13.99
LEPIDOPTERA,ORTHOPTERA,1.0,13.0,13.0,1.0,13.0
LEPIDOSTOMATIDAE,BRACHYCENTRIDAE,1.0,13.99,13.99,1.0,13.99
LEPISOSTEUS,OSSEUS,4.0,13.41,13.41,4.0,13.41
LEPOMIS,GIBBOSUS,81.0,13.05,13.05,81.0,13.05
LEPOMIS,MACROCHIRUS,97.0,13.25,13.25,97.0,13.25
LEPORINUS,ELONGATUS,1.0,13.0,13.0,1.0,13.0
LEPTOCOTTUS,ARMATUS,5.0,13.99,13.99,5.0,13.99
LEPTODORA,KINDTI,1.0,13.0,13.0,1.0,13.0
LEPTODORA,KINDTII,2.0,13.67,13.67,2.0,13.67
LETHENTERON,CAMTSCHATICUM,3.0,13.26,13.26,3.0,13.26
LEUCASPIUS,DELINEATUS,3.0,13.99,13.99,3.0,13.99
LEUCISCUS,CEPHALUS,66.0,13.36,13.36,66.0,13.36
LIMANDA,LIMANDA,8.0,13.91,13.91,8.0,13.91
LIMNOCALANUS,MACRURUS,1.0,13.99,13.99,1.0,13.99
LIMULUS,POLYPHEMUS,1.0,13.99,13.99,1.0,13.99
LONGISPINA,PEDICULUS,1.0,13.0,13.0,1.0,13.0
LORICARIIDAE,CALLICHTHYIDAE,1.0,13.99,13.99,1.0,13.99
LOTA,LOTA,84.0,13.96,13.96,84.0,13.96
LOXODONTA,AFRICANA,2.0,13.99,13.99,2.0,13.99
LUCANIA,GOODEI,2.0,13.99,13.99,2.0,13.99
LUCIOBARBUS,BOCAGEI,10.0,13.8,13.8,10.0,13.8
LUCIOPERCA,PERCAFLUVIATILIS,1.0,13.0,13.0,1.0,13.0
LUMBRICULUS,VARIEGATUS,2.0,13.99,13.99,2.0,13.99
LUTJANUS,GRISEUS,1.0,13.99,13.99,1.0,13.99
LUTRA,LUTRA,38.0,13.98,13.98,38.0,13.98
LUXILUS,CORNUTUS,8.0,13.75,13.75,8.0,13.75
LYMNAEA,STAGNALIS,3.0,13.77,13.77,3.0,13.77
LYTHRURUS,UMBRATILIS,1.0,13.99,13.99,1.0,13.99
MACCULLOCHELLA,MACQUARIENSIS,3.0,13.0,13.0,3.0,13.0
MACCULLOCHELLA,PEELII,6.0,13.67,13.67,6.0,13.67
MACOMA,BALTHICA,7.0,13.99,13.99,7.0,13.99
MACQUARIA,AUSTRALASICA,31.0,13.84,13.84,31.0,13.84
MACRHYBOPSIS,STORERIANA,2.0,13.67,13.67,2.0,13.67
MALLOTUS,VILLOSUS,12.0,13.99,13.99,12.0,13.99
MARCUSENIUS,MACROLEPIDOTUS,1.0,13.41,13.41,1.0,13.41
MARGARISCUS,MARGARITA,6.0,13.99,13.99,6.0,13.99
MARINA,OCEANOGRAFIA,1.0,13.41,13.41,1.0,13.41
MAUROLICUS,MUELLERI,1.0,13.99,13.99,1.0,13.99
MEGALOPTERA,DYTISCIDAE,2.0,13.0,13.0,2.0,13.0
MEGANYCTIPHANES,NORVEGICA,1.0,13.99,13.99,1.0,13.99
MELANOGRAMMUS,AEGLEFINUS,21.0,13.96,13.96,21.0,13.96
MELOSIRA,NITZSCHIA,1.0,13.99,13.99,1.0,13.99
MENIDIA,MENIDIA,10.0,13.86,13.86,10.0,13.86
MERGUS,MERGANSER,28.0,13.97,13.97,28.0,13.97
MERLUCCIUS,MERLUCCIUS,4.0,13.99,13.99,4.0,13.99
MICROPOGONIAS,FURNIERI,1.0,13.99,13.99,1.0,13.99
MICROPTERUS,DOLOMIEU,52.0,13.69,13.69,52.0,13.69
MICROTUS,OECONOMUS,1.0,13.99,13.99,1.0,13.99
MISGURNUS,ANGUILLICAUDATUS,13.0,13.94,13.94,13.0,13.94
MOGURNDA,ADSPERSA,1.0,13.99,13.99,1.0,13.99
MOLLUSCA,POTAMOPYRGUS,2.0,13.99,13.99,2.0,13.99
MONOGENEA,GYRODACTYLIDAE,13.0,13.84,13.84,13.0,13.84
MORONE,SAXATILIS,52.0,13.75,13.75,52.0,13.75
MOXOSTOMA,MACROLEPIDOTUM,6.0,13.26,13.26,6.0,13.26
MUSCIDAE,EPHYDRIDAE,1.0,13.99,13.99,1.0,13.99
MUSCULISTA,SENHOUSIA,5.0,13.99,13.99,5.0,13.99
MUSTELA,VISON,2.0,13.67,13.67,2.0,13.67
MYLOCHEILUS,CAURINUS,6.0,13.99,13.99,6.0,13.99
MYLOPHARYNGODON,PICEUS,1.0,13.99,13.99,1.0,13.99
MYOXOCEPHALUS,SCORPIUS,34.0,13.37,13.37,34.0,13.37
MYOXOCEPHALUS,THOMPSONII,27.0,13.11,13.11,27.0,13.11
MYRIOPHYLLUM,ALGA,1.0,13.0,13.0,1.0,13.0
MYRIOPHYLLUM,REFUGE,1.0,13.0,13.0,1.0,13.0
MYRIOPHYLLUM,SPICATUM,57.0,13.88,13.88,57.0,13.88
MYSIS,DILUVIANA,13.0,13.27,13.27,13.0,13.27
MYSIS,RELICTA,13.0,13.27,13.27,13.0,13.27
MYTILUS,EDULIS,11.0,13.99,13.99,11.0,13.99
MYXOBOLUS,MYXOSPOREA,1.0,13.99,13.99,1.0,13.99
NANNOPERCA,AUSTRALIS,37.0,13.62,13.62,37.0,13.62
NEMATALOSA,EREBI,1.0,13.41,13.41,1.0,13.41
NEMATALOSA,PHILYPNODON,1.0,13.0,13.0,1.0,13.0
NEMATODA,ACANTHOCEPHALA,4.0,13.3,13.3,4.0,13.3
NEOCHANNA,DIVERSUS,2.0,13.41,13.41,2.0,13.41
NEOGOBIUS,MELANOSTOMUS,83.0,13.94,13.94,83.0,13.94
NEOLAMPROLOGUS,PULCHER,1.0,13.99,13.99,1.0,13.99
NEOMYSIS,INTEGER,1.0,13.99,13.99,1.0,13.99
NEOSILURUS,HYRTLII,1.0,13.99,13.99,1.0,13.99
NEOVISON,VISON,1.0,13.0,13.0,1.0,13.0
NIANGUA,NIANGUAE,1.0,13.41,13.41,1.0,13.41
NIGROFASCIATA,BEANI,1.0,13.41,13.41,1.0,13.41
NIGRUM,SPECTABILE,2.0,13.41,13.41,2.0,13.41
NITELLA,FONTINALIS,1.0,13.99,13.99,1.0,13.99
NITELLA,MYRIOPHYLLUM,2.0,13.41,13.41,2.0,13.41
NITELLA,SPICATUM,2.0,13.41,13.41,2.0,13.41
NOCOMIS,BIGUTTATUS,4.0,13.83,13.83,4.0,13.83
NOEMACHEILUS,BARBATULUS,4.0,13.67,13.67,4.0,13.67
NOTEMIGONUS,CRYSOLEUCAS,12.0,13.94,13.94,12.0,13.94
NOTURUS,FLAVUS,1.0,13.41,13.41,1.0,13.41
NUPHAR,LUTEA,10.0,13.93,13.93,10.0,13.93
NYCTICORAX,NYCTICORAX,4.0,13.99,13.99,4.0,13.99
NYMPHAEA,ALBA,3.0,13.77,13.77,3.0,13.77
ODOE,VITTATUS,1.0,13.0,13.0,1.0,13.0
ODONTESTHES,BONARIENSIS,7.0,13.99,13.99,7.0,13.99
ONCORHYNCHUS,MYKISS,663.0,13.36,13.36,663.0,13.36
OPSOPOEODUS,EMILIAE,1.0,13.0,13.0,1.0,13.0
ORCONECTES,PROPINQUUS,8.0,13.35,13.35,8.0,13.35
ORCONECTES,RUSTICUS,7.0,13.22,13.22,7.0,13.22
OREOCHROMIS,MOSSAMBICUS,29.0,13.28,13.28,29.0,13.28
OREOCHROMIS,NILOTICUS,35.0,13.07,13.07,35.0,13.07
ORTHODON,MICROLEPIDOTUS,1.0,13.99,13.99,1.0,13.99
OSMERIDAE,EPERLANUS,1.0,13.41,13.41,1.0,13.41
OSMERIDAE,OSMERUS,1.0,13.41,13.41,1.0,13.41
OSMERUS,EPERLANUS,34.0,13.31,13.31,34.0,13.31
OSMERUS,MORDAX,40.0,13.3,13.3,40.0,13.3
OSTRACODA,HYDRACARINA,1.0,13.0,13.0,1.0,13.0
OTOLITHS,PIG,1.0,13.99,13.99,1.0,13.99
OXYELEOTRIS,LINEOLATUS,1.0,13.99,13.99,1.0,13.99
PACIFASTACUS,LENIUSCULUS,16.0,13.99,13.99,16.0,13.99
PADOGOBIUS,MARTENSI,1.0,13.99,13.99,1.0,13.99
PANDION,HALIAETUS,3.0,13.99,13.99,3.0,13.99
PANGASIUS,SUTCHI,1.0,13.99,13.99,1.0,13.99
