TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,ALPINUS,SALVELINUS, GENUS,VTO ontology,is_a,13.47,WEB corpus,both
 SPECIES,MALMA,SALVELINUS, GENUS,VTO ontology,is_a,10.76,WEB corpus,both
 SPECIES,FONTINALIS,SALVELINUS, GENUS,VTO ontology,is_a,12.88,WEB corpus,both
 SPECIES,TSHAWYTSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.71,WEB corpus,both
 SPECIES,KETA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,10.35,WEB corpus,both
 SPECIES,KISUTCH,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.99,WEB corpus,both
 SPECIES,GORBUSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,10.23,WEB corpus,both
 SPECIES,MYKISS,ONCORHYNCHUS, GENUS,VTO ontology,is_a,13.36,WEB corpus,both
 SPECIES,NERKA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.9,WEB corpus,both
 SPECIES,ARCTICUS,THYMALLUS, GENUS,VTO ontology,is_a,13.24,WEB corpus,both
 SPECIES,THYMALLUS,THYMALLUS, GENUS,VTO ontology,is_a,10.52,WEB corpus,both
 SPECIES,ALTIVELIS,PLECOGLOSSUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,VILLOSUS,MALLOTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,MORDAX,OSMERUS, GENUS,VTO ontology,is_a,13.3,WEB corpus,both
 SPECIES,EPERLANUS,OSMERUS, GENUS,VTO ontology,is_a,13.31,WEB corpus,both
 SPECIES,MACULATUS,GALAXIAS, GENUS,VTO ontology,is_a,11.76,WEB corpus,both
 SPECIES,FASCIATUS,GALAXIAS, GENUS,VTO ontology,is_a,11.02,WEB corpus,both
 SPECIES,BREVIPINNIS,GALAXIAS, GENUS,VTO ontology,is_a,11.34,WEB corpus,both
 SPECIES,OLIDUS,GALAXIAS, GENUS,VTO ontology,is_a,13.38,WEB corpus,both
 SPECIES,POSTVECTIS,GALAXIAS, GENUS,VTO ontology,is_a,11.06,WEB corpus,both
 SPECIES,STURIO,ACIPENSER, GENUS,VTO ontology,is_a,13.16,WEB corpus,both
 SPECIES,TRANSMONTANUS,ACIPENSER, GENUS,VTO ontology,is_a,13.11,WEB corpus,both
 SPECIES,FULVESCENS,ACIPENSER, GENUS,VTO ontology,is_a,11.87,WEB corpus,both
 SPECIES,FOSSOR,ICHTHYOMYZON, GENUS,VTO ontology,is_a,13.88,WEB corpus,both
 SPECIES,MARINUS,PETROMYZON, GENUS,VTO ontology,is_a,13.96,WEB corpus,both
 SPECIES,TRIDENTATA,LAMPETRA, GENUS,VTO ontology,is_a,10.2,WEB corpus,both
 SPECIES,RICHARDSONI,LAMPETRA, GENUS,VTO ontology,is_a,9.09,WEB corpus,both
 SPECIES,FLUVIATILIS,LAMPETRA, GENUS,VTO ontology,is_a,12.65,WEB corpus,both
 SPECIES,PLANERI,LAMPETRA, GENUS,VTO ontology,is_a,12.58,WEB corpus,both
 SPECIES,CEPHALUS,LEUCISCUS, GENUS,VTO ontology,is_a,13.36,WEB corpus,both
 SPECIES,GULOSUS,LEPOMIS, GENUS,VTO ontology,is_a,9.88,WEB corpus,both
 SPECIES,AURATUS,PAGRUS, GENUS,VTO ontology,is_a,11.96,WEB corpus,both
,SCHLEGELI,ACANTHOPAGRUS,,,,13.67,WEB corpus,right_only
,CERNUA,ACERINA,,,,13.36,WEB corpus,right_only
,LINNAEUS,ACULEATUS,,,,10.95,WEB corpus,right_only
,MELANOSTOMA,APOLLONIA,,,,13.73,WEB corpus,right_only
,AQUATICUS,ASELLUS,,,,13.94,WEB corpus,right_only
,CHYDORUS,BOSMINA,,,,12.79,WEB corpus,right_only
,LONGIMANUS,BYTHOTREPHES,,,,13.99,WEB corpus,right_only
,SALMONIDAE,CATOSTOMIDAE,,,,11.64,WEB corpus,right_only
,COMMERSONI,CATOSTOMUS,,,,13.05,WEB corpus,right_only
,DEMERSUM,CERATOPHYLLUM,,,,13.88,WEB corpus,right_only
,CERNUA,CERNUUS,,,,11.97,WEB corpus,right_only
,FLAVICANS,CHAOBORUS,,,,13.83,WEB corpus,right_only
,DIPTERA,CHIRONOMIDAE,,,,11.71,WEB corpus,right_only
,PLUMOSUS,CHIRONOMUS,,,,13.5,WEB corpus,right_only
,TOXOSTOMA,CHONDROSTOMA,,,,12.41,WEB corpus,right_only
,COPEPODA,CLADOCERA,,,,12.705,WEB corpus,right_only
,SINENSIS,CLONORCHIS,,,,13.99,WEB corpus,right_only
,ARTEDII,COREGONUS,,,,10.08,WEB corpus,right_only
,BAIRDI,COTTUS,,,,11.99,WEB corpus,right_only
,CRANGON,CRANGON,,,,13.54,WEB corpus,right_only
,ESOX,CYPRINIDAE,,,,12.61,WEB corpus,right_only
,FLUVIATILIS,CYPRINIDAE,,,,12.62,WEB corpus,right_only
,LUCIUS,CYPRINIDAE,,,,12.62,WEB corpus,right_only
,PERCA,CYPRINIDAE,,,,12.6,WEB corpus,right_only
,BOSMINA,DAPHNIA,,,,11.35,WEB corpus,right_only
,HYALINA,DAPHNIA,,,,12.13,WEB corpus,right_only
