TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
,COREGONI,BOSMINA,,,,12.26,WEB corpus,right_only
,DAPHNIA,BOSMINA,,,,10.82,WEB corpus,right_only
,LEPTODORA,BOSMINA,,,,10.75,WEB corpus,right_only
,LONGISPINA,BOSMINA,,,,11.19,WEB corpus,right_only
,NUMBER,BOSMINA,,,,11.99,WEB corpus,right_only
,PULEX,BOSMINA,,,,11.26,WEB corpus,right_only
,SPP,BOSMINA,,,,9.61,WEB corpus,right_only
,TAB,BOSMINA,,,,12.68,WEB corpus,right_only
,COPEPODS,BRACHIONUS,,,,13.41,WEB corpus,right_only
,COLEOPTERA,BRACHYCENTRIDAE,,,,12.68,WEB corpus,right_only
,COREGONUS,BRACHYMYSTAX,,,,12.41,WEB corpus,right_only
 SPECIES,LENOK,BRACHYMYSTAX, GENUS,VTO ontology,is_a,13.67,WEB corpus,both
,ASPIUS,BRAMA,,,,10.35,WEB corpus,right_only
,GOBIO,BRAMA,,,,8.07,WEB corpus,right_only
,FOSTERI,BREVIPINNIS,,,,12.68,WEB corpus,right_only
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,CEPHALUS,BRYCON, GENUS,VTO ontology,is_a,8.44,WEB corpus,both
,ARTEMIA,BSN,,,,13.99,WEB corpus,right_only
,UMBELLATUS,BUTOMUS,,,,13.99,WEB corpus,right_only
,LONGIMANUS,BYTHOTREPHES,,,,13.99,WEB corpus,right_only
,EXILE,CAERULEUM,,,,11.83,WEB corpus,right_only
,SQUALIUS,CALDERONI,,,,13,WEB corpus,right_only
 SPECIES,ANOMALUM,CAMPOSTOMA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
,PETROMYZONTIDAE,CAMTSCHATICUM,,,,13.41,WEB corpus,right_only
,VITREUS,CANADENSIS,,,,10.3,WEB corpus,right_only
,VITREUM,CAPRODES,,,,9.53,WEB corpus,right_only
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.52,WEB corpus,both
 SPECIES,CARASSIUS,CARASSIUS, GENUS,VTO ontology,is_a,12.63,WEB corpus,both
 SPECIES,CUVIERI,CARASSIUS, GENUS,VTO ontology,is_a,8.64,WEB corpus,both
 SPECIES,GIBELIO,CARASSIUS, GENUS,VTO ontology,is_a,11.34,WEB corpus,both
,PARVA,CARASSIUS,,,,8.54,WEB corpus,right_only
,MAENAS,CARCINUS,,,,13.99,WEB corpus,right_only
,CAREX,CAREX,,,,12.68,WEB corpus,right_only
 SPECIES,CYPRINUS,CARPIODES, GENUS,VTO ontology,is_a,13.58,WEB corpus,both
 SPECIES,VELIFER,CARPIODES, GENUS,VTO ontology,is_a,13.19,WEB corpus,both
 SPECIES,CANADENSIS,CASTOR, GENUS,VTO ontology,is_a,10.3,WEB corpus,both
,COMMERSONI,CATASTOMUS,,,,11.09,WEB corpus,right_only
,ICTALURIDAE,CATOSTOMIDAE,,,,12.88,WEB corpus,right_only
,SALMONIDAE,CATOSTOMIDAE,,,,11.64,WEB corpus,right_only
,UMBRIDAE,CATOSTOMIDAE,,,,11.19,WEB corpus,right_only
 SPECIES,CATOSTOMUS,CATOSTOMUS, GENUS,VTO ontology,is_a,12.68,WEB corpus,both
,COMMERSONI,CATOSTOMUS,,,,13.05,WEB corpus,right_only
 SPECIES,COMMERSONII,CATOSTOMUS, GENUS,VTO ontology,is_a,11.57,WEB corpus,both
,COTTUS,CATOSTOMUS,,,,8.81,WEB corpus,right_only
,COUESIUS,CATOSTOMUS,,,,12.19,WEB corpus,right_only
 SPECIES,DISCOBOLUS,CATOSTOMUS, GENUS,VTO ontology,is_a,9.79,WEB corpus,both
,ESOCIDAE,CATOSTOMUS,,,,10.895,WEB corpus,right_only
,HUDSONIUS,CATOSTOMUS,,,,12.19,WEB corpus,right_only
 SPECIES,LATIPINNIS,CATOSTOMUS, GENUS,VTO ontology,is_a,8.81,WEB corpus,both
 SPECIES,MACROCHEILUS,CATOSTOMUS, GENUS,VTO ontology,is_a,11.48,WEB corpus,both
,NOTROPIS,CATOSTOMUS,,,,12.19,WEB corpus,right_only
,PERCA,CATOSTOMUS,,,,8.71,WEB corpus,right_only
,PIMEPHALES,CATOSTOMUS,,,,12.19,WEB corpus,right_only
