parent,child,hits,score,score
,,sum,mean,median
EGG,MYSIS_SPP,1.0,13.0,13.0
EGG,OSTRACODA,1.0,10.09,10.09
ELODEA_CANADENSIS,POTAMOGETON_CHEESEMANII,1.0,13.99,13.99
EMPIDIDAE,CERATOPOGONIDAE,1.0,13.99,13.99
ENGRAULIS_MORDAX,LARVA,1.0,6.31,6.31
EPHEMERELLIDAE,ECDYONURIDAE,1.0,13.99,13.99
EPHEMEROPTERA,LARVA,1.0,6.22,6.22
EPHEMEROPTERA,LEPIDOPTERA,1.0,10.04,10.04
EPHEMEROPTERA,NYMPH,11.0,12.96,12.96
EPHEMEROPTERA,ODONATA,2.0,10.87,10.87
EPHEMEROPTERA,PLECOPTERA,7.0,12.56,12.56
EPHEMEROPTERA,SALMON,1.0,8.05,8.05
EPHEMEROPTERA,SIMULIIDAE,1.0,10.04,10.04
EPHEMEROPTERA,TRICHOPTERA,3.0,11.03,11.03
ESOCIDAE,ESOX_LUCIUS,1.0,11.83,11.83
ESOCIDAE,SALMONIDAE,2.0,11.91,11.91
ESOX,IUCIUS,1.0,10.24,10.24
ESOX,LINNAEUS,1.0,8.31,8.31
ESOX,LUCIUS,24.0,13.91,13.91
ESOX_LUCIUS,BLICCA_BJOERKNA,1.0,10.82,10.82
ESOX_LUCIUS,LINNAEUS,14.0,12.28,12.28
ETHEOSTOMA,PERCIDAE,1.0,12.19,12.19
ETHEOSTOMA_NIGRUM,APLODINOTUS_GRUNNIENS,1.0,12.68,12.68
ETHEOSTOMA_NIGRUM,LARVA,1.0,6.3,6.3
ETHEOSTOMA_OLMSTEDI,PERCA_FLAVESCENS,1.0,10.6,10.6
ETHEOSTOMA_SPECTABILE,APLODINOTUS_GRUNNIENS,1.0,12.41,12.41
ETHEOSTOMA_SPECTABILE,ETHEOSTOMA_FLABELLARE,1.0,13.0,13.0
ETHEOSTOMA_SPECTABILE,NOTURUS,1.0,12.41,12.41
EUBOTHRIUM_SALVELINI,PROTEOCEPHALUS_LONGICOLLIS,1.0,13.99,13.99
FISH,ABRAMIS_BRAMA,1.0,4.31,4.31
FISH,ACHOA_MITCHILLI,1.0,6.84,6.84
FISH,ACIPENSER_RUTHENUS,1.0,6.83,6.83
FISH,AEROMONAS_SALMONICIDA,1.0,6.84,6.84
FISH,AMEIURUS,1.0,6.83,6.83
FISH,ANGUILLA_ANGUILLA,4.0,8.81,8.81
FISH,APLODINOTUS_GRUNNIENS,1.0,6.84,6.84
FISH,ARAPAIMA_GIGAS,2.0,5.574999999999999,5.574999999999999
FISH,AWAOS_GUAMENSIS,1.0,6.83,6.83
FISH,BARBUS_BARBUS,2.0,8.76,8.76
FISH,BOTHRIOCEPHALUS_ACHEILOGNATHI,3.0,5.89,5.89
FISH,BRACHYRHAPHIS_RHABDOPHORA,1.0,4.31,4.31
FISH,BRYCONAMERICUS_STRAMINEUS,1.0,4.31,4.31
FISH,CAMPOSTOMA,1.0,6.84,6.84
FISH,CARANX_SEXFASCIATUS,1.0,6.84,6.84
FISH,CARDONA,1.0,6.83,6.83
FISH,CATOSTOMUS_COMMERSONII,1.0,6.84,6.84
FISH,CICHLASOMA_CENTRARCHUS,1.0,4.31,4.31
FISH,CICHLASOMA_NIGROFASCIATUM,1.0,4.31,4.31
FISH,CLETHRIONOMYS_RUTILUS,1.0,6.82,6.82
FISH,COLISA_LALIA,1.0,4.31,4.31
FISH,COREGONUS,2.0,7.83,7.83
FISH,COREGONUS_LAVARETUS,2.0,5.31,5.31
FISH,COREGONUS_NASUS,1.0,4.31,4.31
FISH,COREGONUS_SPP,2.0,5.31,5.31
FISH,COTTIDAE,1.0,6.83,6.83
FISH,COTTUS_CAROLINAE,1.0,4.31,4.31
FISH,COTTUS_GOBIO,2.0,5.3,5.3
FISH,COTTUS_HANGIONGENSIS,1.0,6.83,6.83
FISH,COTTUS_POLLUX,1.0,6.83,6.83
FISH,COTTUS_SPP,1.0,6.84,6.84
FISH,CRATEROCEPHALUS,3.0,5.89,5.89
FISH,CTENOPOMA_MURIEI,2.0,5.31,5.31
FISH,CYPRINIDAE,3.0,8.41,8.41
FISH,CYPRINUS,1.0,6.83,6.83
FISH,DEROGENES_VARICUS,1.0,6.84,6.84
FISH,DOROSOMA_CEPEDIANUM,1.0,10.68,10.68
FISH,ENTOSPHENUS,1.0,10.68,10.68
FISH,EPINEPHELUS_COIOIDES,1.0,4.31,4.31
FISH,ERO,2.0,12.19,12.19
FISH,ESOX_LUCIUS,5.0,8.875,8.875
FISH,ETHEOSTOMA_SIMOTERUM,2.0,12.19,12.19
FISH,FUNDULUS,1.0,4.31,4.31
FISH,FUNDULUS_NOTATUS,1.0,4.31,4.31
FISH,FUNDULUS_ZEBRINUS,1.0,4.31,4.31
FISH,GALAXIAS_AURATUS,1.0,4.31,4.31
FISH,GALAXIAS_BREVIPINNIS,1.0,4.31,4.31
FISH,GALAXIAS_MACULATUS,3.0,5.89,5.89
FISH,GAMBUSIA_AFFINIS,1.0,4.31,4.31
FISH,GAMBUSIA_HOLBROOKI,4.0,6.31,6.31
FISH,GASTEROSTEUS,1.0,6.83,6.83
FISH,GLOSSOGOBIUS_ANKARANENSIS,1.0,4.31,4.31
FISH,GOBIO_GOBIO,1.0,6.82,6.82
FISH,GYMNOGOBIUS_ISAZA,2.0,7.494999999999999,7.494999999999999
FISH,GYRODACTYLUS_SALARIS,1.0,6.84,6.84
FISH,HETERANDRIA_FORMOSA,1.0,4.31,4.31
FISH,HUCHO,1.0,6.84,6.84
FISH,HUCHO_PERRYI,2.0,5.31,5.31
FISH,HYBOGNATHUS_HANKINSONI,1.0,4.31,4.31
FISH,HYPSELEOTRIS_SPP,1.0,6.82,6.82
FISH,ICTALURUS_PUNCTATUS,2.0,5.57,5.57
FISH,KUHLIA_MARGINATA,1.0,6.84,6.84
FISH,KUHLIA_RUPESTRIS,1.0,6.84,6.84
FISH,LATES_CALCARIFER,1.0,6.84,6.84
FISH,LATES_NILOTICUS,1.0,6.82,6.82
FISH,LECITHASTER_GIBBOSUS,1.0,6.84,6.84
FISH,LEPOMIS,1.0,6.82,6.82
FISH,LEPOMIS_CYANELLUS,1.0,4.31,4.31
FISH,LEPOMIS_GIBBOSUS,3.0,6.074999999999999,6.074999999999999
FISH,LEPOMIS_MACROCHIRUS,1.0,6.82,6.82
FISH,LEUCISCUS_CEPHALUS,2.0,8.76,8.76
FISH,LINNAEUS,1.0,6.83,6.83
FISH,LOTA_LOTA,1.0,6.82,6.82
FISH,MAMIRAUA,1.0,6.83,6.83
FISH,MELIA,1.0,6.84,6.84
FISH,MENIDIA_MENIDIA,1.0,6.84,6.84
FISH,MICROCYSTIS,1.0,8.96,8.96
FISH,MICROPTERUS_SALMOIDES,3.0,8.38,8.38
FISH,MICROPTERUS_SPP,1.0,4.31,4.31
FISH,MICROTUS_OECONOMUS,1.0,6.82,6.82
FISH,MOGURNDA_ADSPERSA,1.0,4.31,4.31
FISH,MORONE_SAXATILIS,1.0,6.83,6.83
FISH,MOXOSTOMATINI,1.0,4.31,4.31
FISH,NOCOMIS,1.0,6.84,6.84
