source,target,hits,score,score.1,Hits,Score
CORBICULA,FLUMINEA,3.0,13.77,13.77,3.0,13.77
CORIS,JULIS,1.0,13.99,13.99,1.0,13.99
CORNUTA,MOINIDAE,1.0,13.99,13.99,1.0,13.99
COROPHIUM,VOLUTATOR,5.0,13.99,13.99,5.0,13.99
COTTID,COTTIDAE,1.0,13.99,13.99,1.0,13.99
COUESIUS,PLUMBEUS,30.0,13.95,13.95,30.0,13.95
CRASSIPHIALA,BULBOGLOSSA,1.0,13.99,13.99,1.0,13.99
CRASSOSTREA,VIRGINICA,16.0,13.67,13.67,16.0,13.67
CRENICHTHYS,BAILEYI,1.0,13.99,13.99,1.0,13.99
CREPIDOSTOMUM,FARIONIS,5.0,13.51,13.51,5.0,13.51
CREX,CREX,1.0,13.99,13.99,1.0,13.99
CRICOPTOPUS,SILVESTRIS,1.0,13.99,13.99,1.0,13.99
CRISTATELLA,MUCEDO,2.0,13.99,13.99,2.0,13.99
CROTAPHYTUS,COLLARIS,1.0,13.99,13.99,1.0,13.99
CRYPHIOPS,CAEMENTARIUS,3.0,13.99,13.99,3.0,13.99
CRYPTOCOTYLE,LINGUA,2.0,13.67,13.67,2.0,13.67
CRYPTORRHOPALUM,QUADRIFASCIATUM,1.0,13.99,13.99,1.0,13.99
CTENOPHARYNGODON,IDELLUS,3.0,13.58,13.58,3.0,13.58
CULAEA,INCONSTANS,1.0,13.99,13.99,1.0,13.99
CULISETA,LONGIAREOLATA,2.0,13.99,13.99,2.0,13.99
CYANEA,CAPILLATA,1.0,13.99,13.99,1.0,13.99
CYCLOPS,VICINUS,3.0,13.58,13.58,3.0,13.58
CYCLOPTERUS,LUMPUS,1.0,13.99,13.99,1.0,13.99
CYEMA,ATRUM,2.0,13.99,13.99,2.0,13.99
CYGNUS,OLOR,15.0,13.91,13.91,15.0,13.91
CYMATOGASTER,AGGREGATA,4.0,13.83,13.83,4.0,13.83
CYNODON,DACTYLON,1.0,13.99,13.99,1.0,13.99
CYNOGLOSSIDAE,THUNNUS,3.0,13.99,13.99,3.0,13.99
CYPRINODON,RADIOSUS,2.0,13.67,13.67,2.0,13.67
CYRIDOPSIS,VIDUA,1.0,13.99,13.99,1.0,13.99
CYRTOCARA,EUCINOSTOMUS,2.0,13.99,13.99,2.0,13.99
DANIO,RERIO,18.0,13.81,13.81,18.0,13.81
DASYATIS,PASTINACA,2.0,13.99,13.99,2.0,13.99
DASYCERCUS,CRISTICAUDA,4.0,13.67,13.67,4.0,13.67
DELTISTES,LUXATUS,8.0,13.99,13.99,8.0,13.99
DENTEX,DENTEX,6.0,13.77,13.77,6.0,13.77
DERMOCHELYS,CORIACEA,4.0,13.99,13.99,4.0,13.99
DERMOCYSTIDIUM,BRANCHIALE,4.0,13.99,13.99,4.0,13.99
DEROGENES,VARICUS,2.0,13.99,13.99,2.0,13.99
DIACYCLOPS,BICUSPIDATUS,1.0,13.99,13.99,1.0,13.99
DIAPHANOSSOMA,BIRGEI,3.0,13.77,13.77,3.0,13.77
DIAPHUS,GARMANI,2.0,13.99,13.99,2.0,13.99
DICOSMOECUS,AMBRYSUS,1.0,13.99,13.99,1.0,13.99
