TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,Hits,Score,_merge
 SPECIES,DORMITOR, GENUS,GOBIOMORUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,PUNCTATUM, GENUS,SICYDIUM,PARENT-CHILD,16.0,13.67,13.67,16.0,13.67,both
 SPECIES,PERCNOPTERYGIONUS, GENUS,STIPHODON,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99,both
 SPECIES,JAPONICUS, GENUS,SICYOPTERUS,PARENT-CHILD,20.0,12.57,12.57,20.0,12.57,both
 SPECIES,LAGOCEPHALUS, GENUS,SICYOPTERUS,PARENT-CHILD,57.0,13.65,13.65,57.0,13.65,both
 SPECIES,ACUTIPINNIS, GENUS,COTYLOPUS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,CONCOLOR, GENUS,LENTIPES,PARENT-CHILD,8.0,13.99,13.99,8.0,13.99,both
 SPECIES,AUREUS, GENUS,GLOSSOGOBIUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,MINUTUS, GENUS,POMATOSCHISTUS,PARENT-CHILD,6.0,13.88,13.88,6.0,13.88,both
 SPECIES,OLORUM, GENUS,PSEUDOGOBIUS,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
 SPECIES,GENIVITTATUS, GENUS,STENOGOBIUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,BREVISPINIS, GENUS,TRIDENTIGER,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99,both
 SPECIES,GIURINUS, GENUS,RHINOGOBIUS,PARENT-CHILD,11.0,13.03,13.03,11.0,13.03,both
 SPECIES,BRUNNEUS, GENUS,RHINOGOBIUS,PARENT-CHILD,12.0,13.12,13.12,12.0,13.12,both
 SPECIES,MELANOSTOMUS, GENUS,NEOGOBIUS,PARENT-CHILD,67.0,13.84,13.84,67.0,13.84,both
 SPECIES,SEMILUNARIS, GENUS,PROTERORHINUS,PARENT-CHILD,7.0,13.64,13.64,7.0,13.64,both
 SPECIES,ARMATUS, GENUS,LEPTOCOTTUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,SCORPIUS, GENUS,MYOXOCEPHALUS,PARENT-CHILD,1.0,12.19,12.19,1.0,12.19,both
 SPECIES,THOMPSONII, GENUS,MYOXOCEPHALUS,PARENT-CHILD,4.0,13.67,13.67,4.0,13.67,both
 SPECIES,GOBIO, GENUS,COTTUS,PARENT-CHILD,73.0,13.13,13.13,73.0,13.13,both
 SPECIES,FLAVIDUS, GENUS,SEBASTES,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,ACULEATUS, GENUS,GASTEROSTEUS,PARENT-CHILD,99.0,13.94,13.94,99.0,13.94,both
 SPECIES,PUNGITIUS, GENUS,PUNGITIUS,PARENT-CHILD,41.0,13.86,13.86,41.0,13.86,both
 SPECIES,HETEROCLITUS, GENUS,FUNDULUS,PARENT-CHILD,9.0,12.49,12.49,9.0,12.49,both
 SPECIES,OLIVACEUS, GENUS,FUNDULUS,PARENT-CHILD,11.0,12.73,12.73,11.0,12.73,both
 SPECIES,NOTATUS, GENUS,FUNDULUS,PARENT-CHILD,15.0,12.77,12.77,15.0,12.77,both
 SPECIES,OCCIDENTALIS, GENUS,POECILIOPSIS,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,AFFINIS, GENUS,GAMBUSIA,PARENT-CHILD,40.0,13.23,13.23,40.0,13.23,both
 SPECIES,RETICULATA, GENUS,POECILIA,PARENT-CHILD,22.0,13.67,13.67,22.0,13.67,both
 SPECIES,LATIPINNA, GENUS,POECILIA,PARENT-CHILD,6.0,12.38,12.38,6.0,12.38,both
 SPECIES,RHABDOPHORA, GENUS,BRACHYRHAPHIS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,TULAROSA, GENUS,CYPRINODON,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77,both
 SPECIES,RUBROFLUVIATILIS, GENUS,CYPRINODON,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77,both
 SPECIES,MACULARIUS, GENUS,CYPRINODON,PARENT-CHILD,3.0,12.77,12.77,3.0,12.77,both
 SPECIES,SINENSIS, GENUS,ORYZIAS,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,SICCULUS, GENUS,LABIDESTHES,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,MENIDIA, GENUS,MENIDIA,PARENT-CHILD,9.0,13.64,13.64,9.0,13.64,both
 SPECIES,BERYLLINA, GENUS,MENIDIA,PARENT-CHILD,5.0,13.0,13.0,5.0,13.0,both
 SPECIES,BOYERI, GENUS,ATHERINA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,PLATESSA, GENUS,PLEURONECTES,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,FLESUS, GENUS,PLATICHTHYS,PARENT-CHILD,4.0,13.83,13.83,4.0,13.83,both
 SPECIES,LIMANDA, GENUS,LIMANDA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,AMERICANUS, GENUS,PSEUDOPLEURONECTES,CHILD-PARENT,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,SOLEA, GENUS,SOLEA,PARENT-CHILD,6.0,13.99,13.99,6.0,13.99,both
