source,target,hits sum,score mean,score median
LEPOMIS,HUMILIS,4,9.15,9.15
MERLUCCIUS,MERLUCCIUS,4,13.99,13.99
MYKISS,TRUTTA,4,7.43,7.43
MYRIOPHYLLUM,EXALBESCENS,4,10.93,10.93
MYSIS,MIXTA,4,11.91,11.91
NAMAYCUSH,FONTINALIS,4,9.18,9.18
NEMATODA,ACANTHOCEPHALA,4,13.3,13.3
NOCOMIS,BIGUTTATUS,4,13.83,13.83
ONCHORHYNCHUS,NERKA,4,9.25,9.25
PERCIFORMES,SCIAENIDAE,4,13.54,13.54
POTAMOGETON,PERFOLIATUS,4,13.09,13.09
SALMO,GAIRDNERII,4,6.27,6.27
SIDA,CRYSTALLINA,4,13.83,13.83
SPARGANIUM,ERECTUM,4,13.83,13.83
THALASSOMA,BIFASCIATUM,4,13.99,13.99
TINCA,LINNAEUS,4,8.875,8.875
TRICHOPTERA,DIPTERA,4,11.9,11.9
URSUS,ARCTOS,4,13.99,13.99
VICTORIA,VICTORIA,4,13.54,13.54
[NUMBER],MYKISS,4,10.81,10.81
[NUMBER],ONCORHYNCHUS,4,10.81,10.81
ABRAMIS,BALLERUS,3,10.04,10.04
ACIPENSER,RUTHENUS,3,10.75,10.75
ALNUS,GLUTINOSA,3,13.99,13.99
ALONELLA,NANA,3,13.99,13.99
ARTEMIA,SALINA,3,13.99,13.99
BOSMINA,COREGONI,3,12.26,12.26
BOSMINA,PULEX,3,11.26,11.26
CAMPOSTOMA,ANOMALUM,3,13.99,13.99
CARPIODES,CYPRINUS,3,13.58,13.58
CATOSTOMIDAE,ICTALURIDAE,3,12.88,12.88
CATOSTOMUS,PLATYRHYNCHUS,3,10.35,10.35
CENTRARCHIDAE,ICTALURUS,3,13.12,13.12
CHANNA,PUNCTATUS,3,10.49,10.49
CHEIMARRICHTHYS,FOSTERI,3,13.77,13.77
CHIRONOMUS,RIPARIUS,3,12.77,12.77
CLADOCERA,BOSMINA,3,11.675,11.675
COLEOPTERA,DIPTERA,3,11.26,11.26
COREGONUS,COREGONUS,3,12.19,12.19
COREGONUS,KIYI,3,7.62,7.62
COREGONUS,MARAENA,3,7.62,7.62
COREGONUS,PELED,3,7.62,7.62
COTTUS,CAROLINAE,3,8.29,8.29
COTTUS,PAULUS,3,8.29,8.29
CRANGON,SEPTEMSPINOSA,3,13.26,13.26
CRUSTACEA,DECAPODA,3,12.33,12.33
CTENOPHARYNGODON,IDELLUS,3,13.58,13.58
CYPRINIDAE,ALBURNUS,3,11.12,11.12
DAPHNIA,GALEATA,3,11.03,11.03
DIPTERA,TRICHOPTERA,3,11.26,11.26
ETHEOSTOMA,CHIENENSE,3,11.15,11.15
FLUVIATILIS,BRAMA,3,10.41,10.41
FLUVIATILIS,RUTILUS,3,9.76,9.76
FUNDULUS,NOTATUS,3,10.68,10.68
GALAXIAS,ARGENTEUS,3,10.68,10.68
GASTEROSTEIDAE,COTTIDAE,3,12.88,12.88
GOBIOMORPHUS,HUBBSI,3,13,13
HYPENTELIUM,NIGRICANS,3,13.99,13.99
ICTALURUS,NATALIS,3,9.88,9.88
ICTIOBUS,BUBALUS,3,13.12,13.12
LABIDESTHES,SICCULUS,3,13.99,13.99
LAMPETRA,AYRESI,3,8.37,8.37
LAVARETUS,COREGONUS,3,12.19,12.19
LAVARETUS,LAVARETUS,3,12.88,12.88
LETHENTERON,CAMTSCHATICUM,3,13.26,13.26
LEUCASPIUS,DELINEATUS,3,13.99,13.99
LEUCISCUS,IDUS,3,9.72,9.72
LUCIOBARBUS,GRAELLSII,3,12.49,12.49
LUCIOPERCA,LUCIOPERCA,3,9.48,9.48
LYMNAEA,STAGNALIS,3,13.77,13.77
MACCULLOCHELLA,MACQUARIENSIS,3,13,13
MOXOSTOMA,DUQUESNEI,3,12.49,12.49
MOXOSTOMA,ERYTHRURUM,3,12.49,12.49
NOTROPIS,BUCCATUS,3,11.15,11.15
NYMPHAEA,ALBA,3,13.77,13.77
ONCORHYNCHUS,SALMO,3,6.16,6.16
ONCORHYNCUS,KISUTCH,3,8.82,8.82
PANDION,HALIAETUS,3,13.99,13.99
PTEROPHYLLUM,EIMEKEI,3,13.99,13.99
RHINICHTHYS,UMATILLA,3,11.3,11.3
RHODEUS,SERICEUS,3,13.58,13.58
RUTILUS,ALBURNUS,3,8.695,8.695
SALMO,LINNEAUS,3,5.85,5.85
SALMO,MARMORATUS,3,5.85,5.85
SALMONIDAE,SALAR,3,11.77,11.77
SALVELINUS,UMBLA,3,6.49,6.49
TELEOSTEI,CICHLIDAE,3,13,13
TELEOSTEI,CYPRINIDAE,3,12.12,12.12
