[CM]|26084|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Central California Coast distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26085|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Northern California distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26087|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Puget Sound distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 91, Pages 26722 - 26735, May 11, 2007|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26094|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Upper Columbia River distinct population segment change in status from Endangered to Threatened, as published in Federal Register Volume 74, Number 162, Pages 42605 - 42606, August 24, 2009|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26102|David F. Mitchell, ITIS Data Development Specialist|US ESA: Petition to list as threatened or endangered substantial and initiating status review according to 90-day petition finding, as published in Federal Register Volume 77, Number 172, Pages 54548 - 54553, September 05, 2012|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26105|David F. Mitchell, ITIS Data Development Specialist|US ESA: Nonessential experimental population for The Middle Columbia River distinct population segment in upper Deschutes River basin, Oregon, as published in Federal Register Volume 78, Number 10, Pages 2893 - 2907, January 15, 2013|2013-08-14 11:58:38|,,,,,,,,,,,,,
[CM]|26108|David F. Mitchell, ITIS Data Development Specialist|US ESA: Listed Threatened as Salmo aguabonita whitei, as published in Federal Register Volume 43, Number 72, Pages 15427 - 15429, April 13, 1978|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|6059|David Nicolson - ITIS Data Development Coordinator|This taxon may be seen either as a subspecies of Oncorhynchus mykiss or as a synonym of O. mykiss gilberti|2001-06-28 14:05:25|,,,,,,,,,,,,,,,,,,,,
"[CM]|6060|David Nicolson - ITIS Data Development Coordinator|Some authors include Oncorhynchus mykiss whitei (""Little Kern golden trout"") in synonymy under O. m. gilberti|2001-06-28 14:05:25|",,,,,,,,,,,,,,,,,,,,
[CM]|9946|David Nicolson - ITIS Data Development Coordinator|This taxon may be seen either as a subspecies of Oncorhynchus mykiss or as a synonym of O. mykiss gilberti. Following our stewards' guidance, ITIS is treating it as a valid subspecies|2004-01-22 12:24:57|,,,,,,,,,,,,,,,,,,,
[RF]|||158852|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||158852|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|EXP|234|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|EXP|80|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|EXP|88|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|PUB|13333|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161061|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161105|EXP|80|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161105|PUB|13333|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161105|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
