source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
HYDROCYNUS,VITTATUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPENTELIUM,NIGRICANS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,MOLITRIX,13.61,13.0,13.61,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,NOBILIS,12.9,7.0,12.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICHTHYOMYZON,FOSSOR,13.88,6.0,13.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICHTHYOMYZON,GAGEI,11.99,1.0,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,FURCATUS,11.96,10.0,11.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,13.77,58.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,BUBALUS,13.12,3.0,13.12,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,CYPRINELLUS,13.62,5.0,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
KUHLIA,SANDVICENSIS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LABIDESTHES,SICCULUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,AEPYPTERA,6.79,1.0,6.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,FLUVIATILIS,12.65,204.0,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,PLANERI,12.58,68.0,12.58,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,RICHARDSONI,9.09,5.0,9.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,TRIDENTATA,10.2,11.0,10.2,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LATEOLABRAX,JAPONICUS,13.99,6.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAVINIA,EXILICAUDA,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPISOSTEUS,OCULATUS,11.99,1.0,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPISOSTEUS,OSSEUS,13.41,4.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPISOSTEUS,PLATOSTOMUS,12.83,2.0,12.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,AURITUS,7.17,1.0,7.17,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,CYANELLUS,11.44,21.0,11.44,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,GIBBOSUS,13.05,81.0,13.05,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,GULOSUS,9.88,7.0,9.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
