TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,OSTRALEGUS,HAEMATOPUS, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,MARMORATUS,BRACHYRAMPHUS, GENUS,VTO ontology,is_a,10.75,1.0,10.75,WEB corpus,both
 SPECIES,AALGE,URIA, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,MONOCERATA,CERORHINCA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ARCTICA,FRATERCULA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,TOTANUS,TRINGA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,VIRGATA,APHRIZA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,TRICOLOR,PHALAROPUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ARQUATA,NUMENIUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MELANOCEPHALA,ARENARIA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MINUTILLA,CALIDRIS, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,CANUTUS,CALIDRIS, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,PUSILLA,CALIDRIS, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,ALPINA,CALIDRIS, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,LIMOSA,LIMOSA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,GRISEUS,LIMNODROMUS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,CREX,CREX, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,LONGIROSTRIS,RALLUS, GENUS,VTO ontology,is_a,10.82,1.0,10.82,WEB corpus,both
 SPECIES,GRISEGENA,PODICEPS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,CRISTATUS,PODICEPS, GENUS,VTO ontology,is_a,13.72,7.0,13.72,WEB corpus,both
 SPECIES,CRISTATUS,AEGOTHELES, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,NIGRA,CICONIA, GENUS,VTO ontology,is_a,13.77,3.0,13.77,WEB corpus,both
 SPECIES,NYCTICORAX,NYCTICORAX, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.99,10.0,13.99,WEB corpus,both
 SPECIES,GARNOTII,PELECANOIDES, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,GLACIALIS,FULMARUS, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,MARMORATA,ACTINEMYS, GENUS,VTO ontology,is_a,9.19,1.0,9.19,WEB corpus,both
 SPECIES,CARETTA,CARETTA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CORIACEA,DERMOCHELYS, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,PARADOXA,LEPIDOSIREN, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,AETHIOPICUS,PROTOPTERUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,FORSTERI,NEOCERATODUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,PLATOSTOMUS,LEPISOSTEUS, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,OSSEUS,LEPISOSTEUS, GENUS,VTO ontology,is_a,13.41,4.0,13.41,WEB corpus,both
 SPECIES,OCULATUS,LEPISOSTEUS, GENUS,VTO ontology,is_a,11.99,1.0,11.99,WEB corpus,both
 SPECIES,TERGISUS,HIODON, GENUS,VTO ontology,is_a,13.77,3.0,13.77,WEB corpus,both
 SPECIES,ALOSOIDES,HIODON, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,NOTOPTERUS,NOTOPTERUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CATOSTOMA,PETROCEPHALUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MACROLEPIDOTUS,MARCUSENIUS, GENUS,VTO ontology,is_a,12.68,1.0,12.68,WEB corpus,both
 SPECIES,PETERSII,GNATHONEMUS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,JARDINII,SCLEROPAGES, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,NILOTICUS,HETEROTIS, GENUS,VTO ontology,is_a,8.87,1.0,8.87,WEB corpus,both
 SPECIES,COHENI,THALASSENCHELYS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 FAMILY,ANGUILLIDAE,ANGUILLIFORMES, ORDER,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,AUSTRALIS,ANGUILLA, GENUS,VTO ontology,is_a,9.14,9.0,9.14,WEB corpus,both
 SPECIES,MARMORATA,ANGUILLA, GENUS,VTO ontology,is_a,11.63,50.0,11.63,WEB corpus,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,12.68,116.0,12.68,WEB corpus,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,13.15,181.0,13.15,WEB corpus,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,11.86,59.0,11.86,WEB corpus,both
 SPECIES,CELEBESENSIS,ANGUILLA, GENUS,VTO ontology,is_a,9.12,8.0,9.12,WEB corpus,both
 SPECIES,REINHARDTII,ANGUILLA, GENUS,VTO ontology,is_a,8.46,5.0,8.46,WEB corpus,both
