TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,HADIATYAE,ATHERINOMORPHA,,,12.68,1.0,12.68,WEB corpus
,ORYZIAS,ATHERINOMORPHA,,,12.68,1.0,12.68,WEB corpus
,PORTUGAL,ATLANTIC,,,13.99,1.0,13.99,WEB corpus
,WYVILLEI,ATOLLA,,,13.99,1.0,13.99,WEB corpus
,SIMPLEX,ATOMON,,,11.99,1.0,11.99,WEB corpus
,LIMI,ATROMACULATUS,,,11.67,1.0,11.67,WEB corpus
,INDET,AUCHENORRHYNCHA,,,9.24,6.0,9.24,WEB corpus
,AULOPIFORMES,AULOPIFORMES,,,13.41,1.0,13.41,WEB corpus
,MAXIMA,AULORHYNCHUS,,,10.41,1.0,10.41,WEB corpus
,CARPIO,AURATUS,,,7.9,1.0,7.9,WEB corpus
,NAMAYCUSH,AURATUS,,,7.34,1.0,7.34,WEB corpus
,SPARIDAE,AURATUS,,,13.0,2.0,13.0,WEB corpus
,TEMMINCKI,AURATUS,,,11.99,1.0,11.99,WEB corpus
,TINCA,AURATUS,,,9.48,1.0,9.48,WEB corpus
,AURITA,AURELIA,,,13.99,2.0,13.99,WEB corpus
,ARRIPIDIDAE,AUSTRALASIAN,,,13.0,1.0,13.0,WEB corpus
,THEREVIDAE,AUSTRALASIAN,,,13.41,2.0,13.41,WEB corpus
,BIDYANUS,AUSTRALASICA,,,9.41,1.0,9.41,WEB corpus
,ERECTUM,AUSTRALIS,,,12.19,1.0,12.19,WEB corpus
,GUERINI,AUSTROGOMPHUS,,,13.99,1.0,13.99,WEB corpus
,COXELMIS,AUSTROLIMNIUS,,,13.0,1.0,13.0,WEB corpus
,PALLIPES,AUSTROPOTAMOBIUS,,,13.99,2.0,13.99,WEB corpus
,ALBULA,AUTUMNALIS,,,8.54,1.0,8.54,WEB corpus
,RHINOGOBIUS,AWAOUS,,,12.68,1.0,12.68,WEB corpus
,FERINA,AYTHIA,,,13.0,2.0,13.0,WEB corpus
,FULIGULA,AYTHIA,,,13.0,2.0,13.0,WEB corpus
,PINNATA,AZOLLA,,,13.0,1.0,13.0,WEB corpus
,SPEC,AZOLLA,,,11.54,1.0,11.54,WEB corpus
,LONGA,AZYGIA,,,13.41,1.0,13.41,WEB corpus
,GYMNOTRACHELUS,BABKA,,,13.99,1.0,13.99,WEB corpus
,SALICIFOLIA,BACCHARIS,,,13.99,1.0,13.99,WEB corpus
,OVALIS,BACILLARIOPHYCEAE,,,13.0,1.0,13.0,WEB corpus
