source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
PTYCHOCHEILUS,OREGONENSIS,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PUNGITIUS,PUNGITIUS,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RANA,TEMPORARIA,13.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RHINICHTHYS,ATRATULUS,13.03,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RHINICHTHYS,CATARACTAE,13.05,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RICHARDSONIUS,BALTEATUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RUTILUS,RUTILUS,10.435,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALMO,SALAR,10.045,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALMO,TRUTTA,10.315,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,ALPINUS,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,CONFLUENTUS,9.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,FONTINALIS,12.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,MALMA,10.76,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,NAMAYCUSH,12.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SANDER,LUCIOPERCA,13.31,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SANDER,VITREUS,12.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SARDINOPS,SAGAX,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SCARDINIUS,ERYTHROPHTHALMUS,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SCIAENOPS,OCELLATUS,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SEMOTILUS,ATROMACULATUS,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SILURUS,GLANIS,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SOLEA,SOLEA,13.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SPARUS,AURATA,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SPRATTUS,SPRATTUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SQUALIUS,CEPHALUS,11.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THALEICHTHYS,PACIFICUS,13.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THERAGRA,CHALCOGRAMMA,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THYMALLUS,ARCTICUS,13.18,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THYMALLUS,THYMALLUS,10.505,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
TINCA,TINCA,13.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
VIMBA,VIMBA,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
XENOPUS,LAEVIS,13.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
