TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,MARMORATUS,PROTERORHINUS, GENUS,VTO ontology,is_a,13.36,WEB corpus,both
 SPECIES,SCOMBRUS,SCOMBER, GENUS,VTO ontology,is_a,13.47,WEB corpus,both
 SPECIES,JAPONICUS,SCOMBER, GENUS,VTO ontology,is_a,12.56,WEB corpus,both
 SPECIES,THYNNUS,THUNNUS, GENUS,VTO ontology,is_a,13.26,WEB corpus,both
 SPECIES,ARMATUS,LEPTOCOTTUS, GENUS,VTO ontology,is_a,13.51,WEB corpus,both
 SPECIES,SCORPIUS,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.17,WEB corpus,both
 SPECIES,THOMPSONII,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,12.9,WEB corpus,both
 SPECIES,COGNATUS,COTTUS, GENUS,VTO ontology,is_a,12.21,WEB corpus,both
 SPECIES,BAIRDII,COTTUS, GENUS,VTO ontology,is_a,10.47,WEB corpus,both
 SPECIES,CONFUSUS,COTTUS, GENUS,VTO ontology,is_a,11.3,WEB corpus,both
 SPECIES,ALEUTICUS,COTTUS, GENUS,VTO ontology,is_a,10.87,WEB corpus,both
 SPECIES,ASPER,COTTUS, GENUS,VTO ontology,is_a,11.52,WEB corpus,both
 SPECIES,RHOTHEUS,COTTUS, GENUS,VTO ontology,is_a,9.34,WEB corpus,both
 SPECIES,TENUIS,COTTUS, GENUS,VTO ontology,is_a,9.15,WEB corpus,both
 SPECIES,POECILOPUS,COTTUS, GENUS,VTO ontology,is_a,10.87,WEB corpus,both
 SPECIES,GULOSUS,COTTUS, GENUS,VTO ontology,is_a,8.9,WEB corpus,both
 SPECIES,RICEI,COTTUS, GENUS,VTO ontology,is_a,9.65,WEB corpus,both
 SPECIES,GOBIO,COTTUS, GENUS,VTO ontology,is_a,12.4,WEB corpus,both
 FAMILY,NORMANICHTHYIDAE,SCORPAENIFORMES, ORDER,VTO ontology,is_a,13.88,WEB corpus,both
 SPECIES,CROCKERI,NORMANICHTHYS, GENUS,VTO ontology,is_a,13.95,WEB corpus,both
 SPECIES,FUSCUS,PLATYCEPHALUS, GENUS,VTO ontology,is_a,13.62,WEB corpus,both
 SPECIES,ACULEATUS,GASTEROSTEUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both
 SPECIES,PUNGITIUS,PUNGITIUS, GENUS,VTO ontology,is_a,13.85,WEB corpus,both
 SPECIES,CEPHALUS,MUGIL, GENUS,VTO ontology,is_a,11.63,WEB corpus,both
 SPECIES,HETEROCLITUS,FUNDULUS, GENUS,VTO ontology,is_a,13.69,WEB corpus,both
 SPECIES,DIAPHANUS,FUNDULUS, GENUS,VTO ontology,is_a,11.97,WEB corpus,both
 SPECIES,AFFINIS,GAMBUSIA, GENUS,VTO ontology,is_a,12.92,WEB corpus,both
 SPECIES,RETICULATA,POECILIA, GENUS,VTO ontology,is_a,13.41,WEB corpus,both
 SPECIES,LATIPINNA,POECILIA, GENUS,VTO ontology,is_a,12.9,WEB corpus,both
 SPECIES,BELONE,BELONE, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,BONARIENSIS,ODONTESTHES, GENUS,VTO ontology,is_a,13.34,WEB corpus,both
 SPECIES,MENIDIA,MENIDIA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both
 SPECIES,PLATESSA,PLEURONECTES, GENUS,VTO ontology,is_a,13.7,WEB corpus,both
 SPECIES,FLESUS,PLATICHTHYS, GENUS,VTO ontology,is_a,13.72,WEB corpus,both
 SPECIES,LIMANDA,LIMANDA, GENUS,VTO ontology,is_a,13.61,WEB corpus,both
 SPECIES,HIPPOGLOSSUS,HIPPOGLOSSUS, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
 SPECIES,AMERICANUS,PSEUDOPLEURONECTES, GENUS,VTO ontology,is_a,13.17,WEB corpus,both
 SPECIES,OLIVACEUS,PARALICHTHYS, GENUS,VTO ontology,is_a,13.62,WEB corpus,both
 SPECIES,DENTATUS,PARALICHTHYS, GENUS,VTO ontology,is_a,13.0,WEB corpus,both
 SPECIES,SOLEA,SOLEA, GENUS,VTO ontology,is_a,13.72,WEB corpus,both
 SPECIES,MERLANGUS,MERLANGIUS, GENUS,VTO ontology,is_a,13.93,WEB corpus,both
 SPECIES,MORHUA,GADUS, GENUS,VTO ontology,is_a,11.835,WEB corpus,both
 SPECIES,SAIDA,BOREOGADUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,AEGLEFINUS,MELANOGRAMMUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both
 SPECIES,LOTA,LOTA, GENUS,VTO ontology,is_a,13.94,WEB corpus,both
 SPECIES,GAYI,MERLUCCIUS, GENUS,VTO ontology,is_a,12.54,WEB corpus,both
 SPECIES,PRODUCTUS,MERLUCCIUS, GENUS,VTO ontology,is_a,13.0,WEB corpus,both
 SPECIES,OMISCOMAYCUS,PERCOPSIS, GENUS,VTO ontology,is_a,13.87,WEB corpus,both
 SPECIES,LUCIUS,ESOX, GENUS,VTO ontology,is_a,11.17,WEB corpus,both
 SPECIES,MASQUINONGY,ESOX, GENUS,VTO ontology,is_a,13.47,WEB corpus,both
 SPECIES,LIMI,UMBRA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both
